GROUPE (HP2);NOM GROUPE;BATIMENTS (HP3);Adresse;Code postal;Ville;Date de construction;Date de mise en service;Nb d'escaliers (HP4);Nb de lots;Nb de logements;Nb d'ateliers;Nb de parkings;Nb de commerces;Surface utile SUT;Surface habitable SHAB;Surface réelle SRE;Surface réelle commerces;Surface chauffée SCH
107PV;PGEVIERGE1;01;1TER passage de la Vierge;75007;PARIS;18/12/2014;15/02/2019;1;20;20;0;0;0;1 322;1 301;1 301;1 434;1 301
107OU;IMPASSE OUDINOT 4/6;01;4/6 impasse  Oudinot;75007;PARIS;20/02/2014;18/10/2016;1;67;66;0;0;0;3 495;3 429;3 429;3 615;3 429
110BI;BICHAT 1/9;01;;;;;01/01/1940;0;0;0;0;0;0;0;0;0;0;0
109CQ;COQ3;01;3 avenue du Coq;75009;PARIS;;19/07/2016;3;30;29;0;0;0;1 658;1 583;1 583;1 748;1 583
104QH;Henri IV 14/16;03;14 quai  Henri IV;75004;PARIS;15/09/2015;15/09/2015;1;21;21;0;0;0;1 360;1 252;1 252;1 467;1 252
104R1;ROSIERS10;01;10 rue des Rosiers;75004;PARIS;;21/03/2013;1;4;3;0;0;0;129;118;118;139;0
104QH;Henri IV 14/16;PKC1;10BIS quai  Henri IV;75004;PARIS;15/09/2015;15/09/2015;0;53;0;0;53;0;0;0;0;709;0
110EC;ECHIQUIER3;01;3 rue de l' Échiquier;75010;PARIS;;20/11/2015;4;13;10;0;0;3;554;552;552;823;0
105LC;LACEPEDE 16/18;PKA1;18 rue  Lacépède;75005;PARIS;11/05/1963;11/05/1963;0;19;0;0;19;0;0;0;0;11;0
105J2;SAINT JACQUES 275;02;275 rue  Saint Jacques;75005;PARIS;;01/03/1983;1;4;4;0;0;0;0;98;98;98;0
105J2;SAINT JACQUES 275;01;275 rue  Saint Jacques;75005;PARIS;;01/03/1983;2;8;7;0;0;1;0;218;218;257;0
111TB;CITE DES 3 BORNES 6;01;6 cité des Trois Bornes;75011;PARIS;;12/07/2010;2;13;12;0;0;1;616;616;616;745;0
H04PO;2 PONTS 16/20;01;16/20 rue des Deux Ponts;75004;PARIS;01/01/1970;01/01/2006;2;2;0;0;0;2;0;0;0;160;0
111CL;CARRIERE MAINGUET5/9;PKC1;7 rue  Carrière-Mainguet;75011;PARIS;01/01/1985;23/12/2009;0;41;0;0;41;0;0;0;0;492;0
1PELL;PELLEPORT 160 RIVP;RIVP;160 rue  Pelleport;75020;PARIS;01/01/1970;01/07/2017;0;0;0;0;0;0;0;0;0;0;0
109RC;ROCHECHOUART 53;01;53 boulevard de Rochechouart;75009;PARIS;;01/02/2008;3;13;11;0;0;2;820;760;760;1 031;0
107VA;VANEAU 81TER;01;81TER rue  Vaneau;75007;PARIS;15/04/2014;31/03/2014;1;14;14;0;0;0;804;782;782;882;782
110CB;CHALET - BUISSON ST LOUI;01;1 rue du Chalet;75010;PARIS;01/08/1994;01/09/1994;10;103;98;0;0;4;0;6 536;6 536;7 599;5
110BI;BICHAT 1/9;03;;;;;01/01/1940;10;0;0;0;0;0;0;0;0;0;0
110FA;FAUBOURG DU TEMPLE 43;01;;;;;01/01/1940;3;0;0;0;0;0;0;0;0;0;0
110FM;FAUBOURGSTMARTIN197;02;197 rue du Faubourg Saint Martin;75010;PARIS;01/01/1900;06/09/2013;3;20;18;0;0;2;623;586;586;895;30
104QH;Henri IV 14/16;01;11 boulevard  Morland;75004;PARIS;15/09/2015;15/09/2015;1;26;26;0;0;0;1 873;1 769;1 769;1 976;1 769
110FC;FAUBOURG DU TEMPLE 45;01;45 rue du Faubourg du Temple;75010;PARIS;;01/01/1940;8;0;0;0;0;0;0;0;0;0;0
105LH;LHOMOND 45;C;45 rue  Lhomond;75005;PARIS;;01/09/2000;3;3;2;0;0;1;91;91;91;183;0
105LC;LACEPEDE 16/18;01;16 rue  Lacépède;75005;PARIS;11/05/1963;11/05/1963;1;26;24;0;0;0;0;1 176;1 176;1 247;1 176
105LH;LHOMOND 45;B;45 rue  Lhomond;75005;PARIS;;01/09/2000;1;1;1;0;0;0;69;69;69;69;0
115SB;ST CHARLES 170 BERGERS55;B;170 rue  Saint Charles;75015;PARIS;04/08/1977;01/01/2007;2;36;33;0;0;0;1 985;1 840;1 840;2 138;1 840
102BA;BANQUE 24;01;24/26 rue de la Banque;75002;PARIS;10/06/2013;14/02/2017;3;20;18;0;0;2;1 141;1 056;1 056;1 571;1 056
111CL;CARRIERE MAINGUET5/9;PKC2;35 rue  Émile Lepeu;75011;PARIS;01/01/1985;23/12/2009;0;51;0;0;51;0;0;0;0;678;0
103BT;TEMPLE 23 BLD;03;23 boulevard du Temple;75003;PARIS;;09/01/2015;5;17;12;0;0;4;0;0;0;0;0
103BT;TEMPLE 23 BLD;02;23 boulevard du Temple;75003;PARIS;;09/01/2015;2;12;10;0;0;1;0;0;0;0;0
110BI;BICHAT 1/9;04;;;;;01/01/1940;5;0;0;0;0;0;0;0;0;0;0
108CH;CHAMBIGES 6;01;6 rue  Chambiges;75008;PARIS;;01/07/2010;3;15;15;0;0;0;1 199;1 133;1 133;1 265;0
111P5;PHILIPPE AUGUSTE 45/53;PKE1;43/45 avenue  Philippe-Auguste;75011;PARIS;01/01/1968;01/11/2009;0;6;0;0;6;0;0;0;0;72;0
111JT;TIMBAUD21;AC01;21 rue  Jean-Pierre Timbaud;75011;PARIS;;15/12/2014;0;0;0;0;0;0;0;0;0;0;0
110FD;FAUBOURG DU TEMPLE 43;01;45 rue du Faubourg du Temple;75010;PARIS;;01/01/1940;8;0;0;0;0;0;0;0;0;0;0
113AR;ARAGO48 GLACIERE28;01;28 rue de la Glacière;75013;PARIS;;01/10/2008;4;22;19;0;0;3;888;851;851;1 125;0
104QH;Henri IV 14/16;02;16 quai  Henri IV;75004;PARIS;15/09/2015;15/09/2015;1;24;23;0;0;0;1 646;1 539;1 539;1 768;1 539
113AV;148 AURIOL CROUS;01;148/150 boulevard  Vincent Auriol;75013;PARIS;01/01/1930;09/06/2010;1;16;0;0;0;0;826;821;0;830;821
113SR;SOEUR ROSALIE 4;01;4 avenue de la Soeur Rosalie;75013;PARIS;01/01/1905;01/07/2010;3;33;31;0;0;1;1 701;1 582;1 582;1 844;0
105LH;LHOMOND 45;A;45 rue  Lhomond;75005;PARIS;;01/09/2000;1;2;2;0;0;0;110;98;98;121;0
113BQ;BLANQUI 101-105;PKC1;101/105 boulevard  Auguste Blanqui;75013;PARIS;01/01/1970;10/05/2022;0;91;0;0;91;0;0;0;0;1 018;0
115SB;ST CHARLES 170 BERGERS55;PKC1;55 rue des Bergers;75015;PARIS;04/08/1977;01/12/2021;0;51;0;0;51;0;0;0;0;149;0
111CL;CARRIERE MAINGUET5/9;02;12/14 rue  Carrière-Mainguet;75011;PARIS;01/01/1985;23/12/2009;2;27;27;0;0;0;2 009;1 927;1 927;2 172;1 927
111CL;CARRIERE MAINGUET5/9;03;35 rue  Émile Lepeu;75011;PARIS;01/01/1985;23/12/2009;2;17;16;0;0;1;1 224;1 150;1 150;1 685;1 150
111C7;CHEMIN VERT 127;01;127 rue du Chemin Vert;75011;PARIS;02/12/2013;24/01/2014;1;15;15;0;0;0;1 016;977;977;1 115;977
103BT;TEMPLE 23 BLD;01;23 boulevard du Temple;75003;PARIS;;09/01/2015;2;10;8;0;0;1;0;0;0;0;0
112RD;REUILLY20 DIDEROT75;04;20 rue de Reuilly;75012;PARIS;;01/04/2014;0;0;0;0;0;0;0;0;0;0;0
108SH;FAUBOURG ST HONORE 127;01;127 rue du Faubourg Saint Honoré;75008;PARIS;07/03/2013;07/03/2013;4;22;18;0;0;3;1 080;1 059;1 059;1 679;1 059
112RD;REUILLY20 DIDEROT75;07;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
111JT;TIMBAUD21;01;21 rue  Jean-Pierre Timbaud;75011;PARIS;;15/12/2014;9;21;16;0;0;5;1 161;1 137;1 034;1 465;1 039
110MA;MAGENTA 158;01;158 boulevard de Magenta;75010;PARIS;;02/11/2011;4;14;12;0;0;2;927;917;917;1 190;111
113BG;DESSOUS DES BERGES 62;PKC1;62 rue du Dessous des Berges;75013;PARIS;02/01/2015;01/09/2015;0;14;0;0;14;0;0;0;0;175;0
104MO;MORLAND 1;01;1 boulevard  Morland;75004;PARIS;31/12/2018;20/07/2015;2;21;20;0;0;1;1 221;1 190;1 190;1 456;1 193
113AV;148 AURIOL CROUS;02;148/150 boulevard  Vincent Auriol;75013;PARIS;01/01/1930;09/06/2010;5;8;0;0;0;0;154;154;0;154;154
114TE;TEXEL5;01;5 rue du Texel;75014;PARIS;;01/01/2013;1;17;17;0;0;0;0;837;837;860;0
105VG;VAL DE GRACE 21;01;21 rue du Val de Grâce;75005;PARIS;;15/06/2015;5;18;15;0;0;3;785;769;769;1 077;75
113BQ;BLANQUI 101-105;PKC2;2 rue  Vergniaud;75013;PARIS;01/01/1970;15/07/2013;0;0;0;0;0;0;0;0;0;0;0
118E9;EMILE DUPLOYE 23;01;23 rue  Émile Duployé;75018;PARIS;01/01/1970;01/04/2004;0;0;0;0;0;0;0;0;0;0;0
112RD;REUILLY20 DIDEROT75;09;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
112RD;REUILLY20 DIDEROT75;02;20 rue de Reuilly;75012;PARIS;;01/04/2014;0;0;0;0;0;0;0;0;0;0;0
112NE;ARNOLD NETTER 17;01;17 A avenue du Docteur Arnold Netter;75012;PARIS;01/01/1900;01/07/2017;1;0;0;0;0;0;0;0;0;0;0
111BV;BELLEVILLE37;01;37 boulevard de Belleville;75011;PARIS;;26/06/2015;3;20;18;0;0;2;397;397;397;545;0
112RD;REUILLY20 DIDEROT75;10;20 rue de Reuilly;75012;PARIS;;01/12/2014;0;0;0;0;0;0;0;0;0;0;0
109RO;RODIER49;01;49 rue  Rodier;75009;PARIS;;01/01/2013;2;11;10;0;0;1;483;466;466;617;0
115LV;THEURIET BARTHOLOME;01;4 rue  André Theuriet;75015;PARIS;01/09/2016;28/08/2015;1;36;36;0;0;0;2 516;2 387;2 387;2 645;2 387
111P5;PHILIPPE AUGUSTE 45/53;PKC1;43/45 avenue  Philippe-Auguste;75011;PARIS;01/01/1968;01/10/2015;0;86;0;0;86;0;0;0;0;1 113;0
111AD;ALEXANDRE DUMAS 34;01;34 rue  Alexandre Dumas;75011;PARIS;01/01/1995;01/07/2010;2;12;11;0;0;1;562;527;527;840;0
113YA;DR YERSIN PORTE IVRY;01;26/32 avenue de la Porte d'Ivry;75013;PARIS;31/03/2016;15/01/2016;3;67;0;0;0;2;1 428;1 353;0;4 085;1 675
110FB;FAUBOURG DU TEMPLE 45;01;45 rue du Faubourg du Temple;75010;PARIS;;01/01/2006;1;0;0;0;0;0;0;0;0;0;0
110VI;VILLETTE 115;01;115 boulevard de la Villette;75010;PARIS;01/01/1970;06/06/2018;1;0;0;0;0;0;0;0;0;0;0
115S1;MARIE SKOBTSOV 1;01;1 rue  Marie Skobtsov;75015;PARIS;26/02/2015;17/03/2015;2;32;30;0;0;1;2 003;1 955;1 955;2 526;1 955
111VE;CHEMIN VERT 120;01;120 rue du Chemin Vert;75011;PARIS;09/03/2013;01/10/2008;4;17;15;0;0;2;710;668;668;818;46
115AC;CHABRIERES;01;8 rue  Auguste Chabrières;75015;PARIS;01/01/1914;09/10/2015;3;33;31;0;0;2;934;927;927;1 033;340
119CO;CRIMEE 230-OURCQ 115;01;230 rue de Crimée;75019;PARIS;01/06/1998;01/08/1998;3;22;20;0;0;2;1 336;1 322;1 322;1 629;0
112RD;REUILLY20 DIDEROT75;08;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
113EO;CANTAGREL-EUGENE OUDINE;B;4 rue  Eugène Oudiné;75013;PARIS;01/10/1957;01/10/1957;2;20;20;0;0;0;0;1 067;1 067;1 067;0
112RD;REUILLY20 DIDEROT75;05;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
111CL;CARRIERE MAINGUET5/9;01;5/9 rue  Carrière-Mainguet;75011;PARIS;01/01/1985;23/12/2009;3;46;45;0;0;0;3 134;3 005;2 938;3 288;3 005
112RD;REUILLY20 DIDEROT75;13;20 rue de Reuilly;75012;PARIS;;01/04/2014;0;0;0;0;0;0;0;0;0;0;0
110BI;BICHAT 1/9;02;;;;;01/01/1940;0;0;0;0;0;0;0;0;0;0;0
115LV;THEURIET BARTHOLOME;06;25 avenue  Albert Bartholomé;75015;PARIS;01/09/2016;28/08/2015;1;26;26;0;0;0;1 752;1 651;1 651;1 852;1 651
111P5;PHILIPPE AUGUSTE 45/53;02;43/45 avenue  Philippe-Auguste;75011;PARIS;01/01/1968;01/11/2009;1;11;11;0;0;0;736;715;715;758;715
112CI;CITEAUX 2-4 FOYER;01;2/4 rue de Cîteaux;75012;PARIS;01/01/1930;15/04/2014;1;0;0;0;0;0;0;0;0;0;0
115CN;CONVENTION202;01;202 rue de la Convention;75015;PARIS;01/01/1906;06/11/2013;4;17;14;0;0;2;1 085;1 029;1 029;1 389;81
110FM;FAUBOURGSTMARTIN197;01;197 rue du Faubourg Saint Martin;75010;PARIS;01/01/1900;06/09/2013;3;15;12;0;0;2;740;703;703;916;0
113YA;DR YERSIN PORTE IVRY;02;34/36 avenue de la Porte d'Ivry;75013;PARIS;31/03/2016;15/01/2016;2;2;0;0;0;2;0;0;0;258;136
115S3;MARIE SKOBTSOV 14 18 20;PKC1;14 rue  Marie Skobtsov;75015;PARIS;15/03/2015;18/03/2015;0;6;0;0;6;0;0;0;0;83;0
114TI;TOMBE ISSOIRE 9;01;9 rue de la Tombe Issoire;75014;PARIS;01/01/1900;01/10/2011;1;13;0;0;0;0;239;234;0;248;0
115SB;ST CHARLES 170 BERGERS55;A;55 rue des Bergers;75015;PARIS;04/08/1977;01/01/2007;2;17;16;0;0;1;985;907;907;2 052;907
119CR;CRIMEE-MODERNE;PKC1;101 rue de Crimée;75019;PARIS;01/09/1974;01/01/1940;0;173;0;0;173;0;0;0;0;2 737;0
112RD;REUILLY20 DIDEROT75;CHF1;34 rue de Chaligny;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
117C2;CARDINET 155;01;155 A rue  Cardinet;75017;PARIS;31/10/2012;26/10/2012;1;20;20;0;0;0;990;968;968;1 012;968
113EO;CANTAGREL-EUGENE OUDINE;A;4 rue  Eugène Oudiné;75013;PARIS;01/10/1957;01/10/1957;2;28;28;0;0;0;0;1 126;1 126;1 126;0
111CL;CARRIERE MAINGUET5/9;04;21 passage  Gustave Lepeu;75011;PARIS;01/01/1985;23/12/2009;1;3;3;0;0;0;266;255;255;276;255
112RD;REUILLY20 DIDEROT75;16;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
110CB;CHALET - BUISSON ST LOUI;PKC1;20 passage  Hébrard;75010;PARIS;01/08/1994;01/11/2007;1;194;0;0;194;0;0;0;0;2 327;0
116VL;VAN LOO 2/18-BLERIOT-VE;B;14 rue  Van Loo;75016;PARIS;01/06/1958;01/01/1940;1;18;18;0;0;0;0;1 054;1 054;1 110;1 054
112RD;REUILLY20 DIDEROT75;12;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
114CU;CHATEAU155;01;155 rue du Château;75014;PARIS;01/01/1905;10/02/2015;3;15;13;0;0;2;652;628;628;774;51
115D4;DESNOUETTES43Bis;01;43BIS rue  Desnouettes;75015;PARIS;02/03/2012;12/11/2012;1;12;12;0;0;0;853;818;818;1 005;0
111AD;ALEXANDRE DUMAS 34;PKC1;34 rue  Alexandre Dumas;75011;PARIS;01/01/1995;01/07/2010;0;18;0;0;18;0;0;0;0;216;0
115ZO;ZOLA 95/103 LOURMEL51/53;01;95/103 avenue  Émile Zola;75015;PARIS;01/01/1939;01/12/2009;18;152;140;0;0;11;7 511;7 271;7 241;8 531;7 675
119CP;CRIMEE-PETIT;ABC;3 passage  Dubois;75019;PARIS;01/01/1988;01/03/1988;4;75;73;0;0;0;0;5 347;5 347;5 601;2
114TI;TOMBE ISSOIRE 9;02;9 rue de la Tombe Issoire;75014;PARIS;01/01/1900;01/10/2011;2;8;0;0;0;0;152;147;0;157;0
115S2;MARIE SKOBTSOV 10-12;01;10 rue  Marie Skobtsov;75015;PARIS;05/02/2015;18/03/2015;1;24;24;0;0;0;1 476;1 454;1 454;1 498;1 454
119CU;CURIAL 11/15 HLM;02;15TER rue  Curial;75019;PARIS;01/05/1980;01/01/1940;6;132;129;0;0;1;31;9 364;9 333;10 127;9 354
114LT;LIANCOURT50;01;50 rue  Liancourt;75014;PARIS;;01/08/2013;5;22;20;0;0;2;635;618;618;747;516
117LA;LABIE 9/9bis;01;9 rue  Labie;75017;PARIS;26/04/2022;28/10/2010;2;10;9;0;0;1;404;378;378;998;947
115FR;FREMICOURT 35/39;01;35/37 rue  Frémicourt;75015;PARIS;05/01/2012;28/02/2007;5;58;54;0;0;3;3 566;3 339;3 339;4 044;3 339
104J4;JOUY  4;01;4 rue de Jouy;75004;PARIS;;01/07/1980;3;12;10;0;0;2;0;513;513;615;0
112RD;REUILLY20 DIDEROT75;19;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
111JT;TIMBAUD21;AC02;21 rue  Jean-Pierre Timbaud;75011;PARIS;;15/12/2014;0;0;0;0;0;0;0;0;0;0;0
116VL;VAN LOO 2/18-BLERIOT-VE;CHF1;2 rue  Van Loo;75016;PARIS;01/06/1958;01/01/1940;0;0;0;0;0;0;0;0;0;0;0
112RD;REUILLY20 DIDEROT75;14;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
115ZE;EMILE ZOLA 85;01;85 avenue  Émile Zola;75015;PARIS;01/01/1969;05/03/2015;1;5;0;0;0;1;0;0;0;259;0
115S3;MARIE SKOBTSOV 14 18 20;02;18 rue  Marie Skobtsov;75015;PARIS;15/03/2015;15/03/2015;1;2;0;0;0;0;190;153;0;227;153
113BG;DESSOUS DES BERGES 62;01;62 rue du Dessous des Berges;75013;PARIS;02/01/2015;01/09/2015;3;28;28;0;0;0;1 871;1 751;1 751;2 028;1 751
115S3;MARIE SKOBTSOV 14 18 20;01;14 rue  Marie Skobtsov;75015;PARIS;15/03/2015;15/03/2015;2;103;0;0;0;1;2 115;2 115;0;5 521;2 115
119CU;CURIAL 11/15 HLM;PKC1;15 rue  Curial;75019;PARIS;01/05/1980;01/12/2013;0;267;0;0;265;2;0;0;0;3 595;0
114VX;VERCINGETORIX 171;01;171 rue  Vercingétorix;75014;PARIS;03/12/2012;17/09/2012;1;0;0;0;0;0;0;0;0;0;0
115S2;MARIE SKOBTSOV 10-12;02;12 rue  Marie Skobtsov;75015;PARIS;05/02/2015;18/03/2015;1;26;0;0;0;0;547;547;0;863;547
119FG;FLANDRE 13-GASTON REBUFF;02;16 rue  Gaston Rebuffat;75019;PARIS;15/06/1993;15/06/1993;4;59;58;0;0;0;0;4 165;4 165;4 547;0
114DL;DELORMEL1-3 LECLERC28;01;1/3 square  Henri Delormel;75014;PARIS;01/01/1932;01/12/2009;8;62;56;0;0;4;4 438;4 273;4 273;5 136;4 411
117LA;LABIE 9/9bis;02;9 rue  Labie;75017;PARIS;26/04/2022;28/10/2010;3;12;10;0;0;2;500;469;469;982;472
115LC;LECOURBE 296BIS/308 t 1;TER1;296BIS rue  Lecourbe;75015;PARIS;01/01/1970;01/01/1970;2;0;0;0;0;0;0;0;0;0;0
111BE;PAUL BERT 9;01;9 rue  Paul Bert;75011;PARIS;;01/02/2010;3;21;19;0;0;1;807;762;762;974;44
115LV;THEURIET BARTHOLOME;PKC1;9 avenue de la Porte de Plaisance;75015;PARIS;01/09/2016;13/01/2017;0;204;0;0;204;0;0;0;0;2 355;0
111PG;PASSAGE BONNE GRAINE;01;8 passage de la Bonne Graine;75011;PARIS;;20/07/2015;10;32;24;0;0;8;1 363;1 354;1 354;2 704;106
116VL;VAN LOO 2/18-BLERIOT-VE;PKC3;6 rue  Van Loo;75016;PARIS;01/06/1958;01/01/1940;0;131;0;0;131;0;0;0;0;1 486;0
112RD;REUILLY20 DIDEROT75;18;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
116PA;PASSY 60/62;01;60/62 rue de Passy;75016;PARIS;;01/10/2013;4;13;11;0;0;2;623;588;588;663;0
115S3;MARIE SKOBTSOV 14 18 20;03;20 rue  Marie Skobtsov;75015;PARIS;15/03/2015;15/03/2015;1;1;0;0;0;1;0;0;0;436;0
113A8;AMIRAL MOUCHEZ 81B FOYER;01;81BIS rue de l' Amiral Mouchez;75013;PARIS;31/05/2012;15/05/2012;2;1;0;0;0;1;0;0;0;215;0
116LO;LONGCHAMP77;01;77 rue de Longchamp;75016;PARIS;01/01/1901;17/01/2014;7;40;36;0;0;4;1 835;1 781;1 781;2 070;212
119CU;CURIAL 11/15 HLM;01;11 rue  Curial;75019;PARIS;01/05/1980;01/01/1940;9;144;140;0;0;3;0;9 290;9 290;10 558;9 440
115S2;MARIE SKOBTSOV 10-12;PKC1;2 rue  Marie Skobtsov;75015;PARIS;05/02/2015;17/04/2015;0;45;0;0;45;0;0;0;0;575;0
118GB;Grosse Bouteille8;01;8 impasse de la Grosse Bouteille;75018;PARIS;01/01/1930;04/03/2013;1;13;13;0;0;0;400;370;370;429;0
119FK;FLANDRE 167/171-ALPHONSE;04;167 avenue de Flandre;75019;PARIS;01/02/1990;01/03/1990;7;93;88;0;0;3;0;5 118;5 118;6 024;4
119A7;ARDENNES 17/19;01;17 rue des Ardennes;75019;PARIS;01/03/1995;15/03/1995;1;16;16;0;0;0;1 181;1 094;1 094;1 309;80
119A6;AUBERVILLIERS 66;01;66 rue d' Aubervilliers;75019;PARIS;01/06/1976;01/01/1940;1;38;37;0;0;0;0;1 795;1 795;1 846;1 795
115LA;LACORDAIRE28;01;28 rue  Lacordaire;75015;PARIS;01/01/1928;29/04/2013;3;12;11;0;0;1;561;541;541;597;541
111C3;CHARONNE 32/34;01;32/34 rue de Charonne;75011;PARIS;;01/07/2010;5;23;18;0;0;4;1 319;1 252;1 220;1 938;189
115LV;THEURIET BARTHOLOME;02;6 rue  André Theuriet;75015;PARIS;01/09/2016;28/08/2015;1;1;0;0;0;1;0;0;0;920;0
111PG;PASSAGE BONNE GRAINE;02;8 passage de la Bonne Graine;75011;PARIS;;20/07/2015;3;5;5;0;0;0;196;186;186;206;0
118PP;POLONCEAU 53/57-POISSONN;TER2;55 rue  Polonceau;75018;PARIS;26/12/1996;01/01/1970;1;0;0;0;0;0;0;0;0;0;0
114OB;OBSERVATOIRE 26;01;26 avenue de l' Observatoire;75014;PARIS;;31/10/2007;1;37;0;0;0;1;2 382;2 382;0;2 566;1 541
116PO;POSSOZ 6;PKC1;6 place  Possoz;75016;PARIS;01/01/1965;01/12/2021;0;26;0;0;26;0;0;0;0;366;0
116VL;VAN LOO 2/18-BLERIOT-VE;A;2 rue  Van Loo;75016;PARIS;01/06/1958;01/01/1940;4;67;65;0;0;0;0;2 902;2 867;3 118;2 902
113YE;DOCTEUR YERSIN 6;01;6 place du Docteur Yersin;75013;PARIS;01/01/2016;15/09/2011;1;0;0;0;0;0;0;0;0;0;0
116TE;CLAUDE TERRASSE 11Bis;01;11BIS rue  Claude Terrasse;75016;PARIS;01/05/2013;15/12/2008;3;12;12;0;0;0;761;753;753;826;0
119FA;FLANDRE 156/160-ARGONNE;PAV2;158 avenue de Flandre;75019;PARIS;05/01/2015;01/09/1998;1;1;1;0;0;0;113;100;100;127;0
119CP;CRIMEE-PETIT;DE;44 rue  Petit;75019;PARIS;01/01/1988;01/03/1988;3;42;42;0;0;0;0;2 911;2 911;3 012;0
119CP;CRIMEE-PETIT;FG;36 rue  Petit;75019;PARIS;01/01/1988;01/03/1988;5;53;51;0;0;0;0;2 976;2 976;3 202;0
119FP;FRANCOIS PINTON 5;01;5 rue  François Pinton;75019;PARIS;01/01/1930;01/07/2010;2;24;24;0;0;0;1 139;1 138;1 138;1 140;1 138
119A1;ARDENNES 11;03;11 rue des Ardennes;75019;PARIS;01/01/1930;01/03/1995;2;7;6;0;0;1;0;452;452;505;0
119A7;ARDENNES 17/19;02;19 rue des Ardennes;75019;PARIS;01/03/1995;15/03/1995;1;4;4;0;0;0;355;308;308;403;0
117C1;CARDINET151bis-155bis;PKC1;155 rue  Cardinet;75017;PARIS;19/03/2013;31/05/2013;0;45;0;0;45;0;0;0;0;593;0
112RD;REUILLY20 DIDEROT75;01;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
115LV;THEURIET BARTHOLOME;03;8/10 rue  André Theuriet;75015;PARIS;01/09/2016;13/01/2017;2;20;18;0;0;1;1 082;1 020;1 020;1 260;1 020
111P5;PHILIPPE AUGUSTE 45/53;01;45/53 avenue  Philippe-Auguste;75011;PARIS;01/01/1968;01/11/2009;7;65;61;0;0;4;3 947;3 841;3 841;5 166;4 195
118PP;POLONCEAU 53/57-POISSONN;TER5;4 rue des Poissonniers;75018;PARIS;26/12/1996;01/01/1970;1;0;0;0;0;0;0;0;0;0;0
114PE;PERNETY 73;01;73 rue  Pernety;75014;PARIS;01/01/1970;02/12/2015;1;1;0;0;0;1;0;0;0;96;0
116PE;POMPE50;01;50 rue de la Pompe;75016;PARIS;28/01/2015;24/03/2015;3;39;38;0;0;0;2 650;2 493;2 493;2 841;2 493
117RE;PIERRE REBIERE 10/72;08;48 rue  Pierre Rebière;75017;PARIS;15/09/2011;01/12/2011;1;6;5;0;0;0;323;305;305;363;305
115D4;DESNOUETTES43Bis;PKC1;43BIS rue  Desnouettes;75015;PARIS;02/03/2012;12/11/2012;0;12;0;0;12;0;0;0;0;144;0
116MS;NE PLUS UTILISER;01;52/120 boulevard de Montmorency;75016;PARIS;01/01/1970;01/09/2007;0;0;0;0;0;0;0;0;0;0;0
119FE;FESSART 40/50;AB;42 rue  Fessart;75019;PARIS;01/10/1963;10/04/1970;7;103;100;0;0;1;0;7 608;7 608;8 505;8 259
119FA;FLANDRE 156/160-ARGONNE;PAV1;158 avenue de Flandre;75019;PARIS;05/01/2015;01/09/1998;1;1;1;0;0;0;131;117;117;146;0
119CP;CRIMEE-PETIT;PKC1;9 passage  Dubois;75019;PARIS;01/01/1988;01/06/1989;0;195;0;0;195;0;0;0;0;5 445;0
119RT;RIQUET 33/39-TANGER 32;02;37 rue  Riquet;75019;PARIS;01/02/1958;01/01/1940;5;82;80;0;0;1;0;3 980;3 980;4 135;3 980
119OO;OURCQ 49/53-OISE 3/9;D;53 rue de l' Ourcq;75019;PARIS;01/02/1923;21/03/1922;6;70;66;0;0;2;137;2 452;2 452;2 580;0
119BC;BOLIVAR-CHAUFOURNIERS;02;22 avenue  Mathurin Moreau;75019;PARIS;01/04/1980;01/04/1980;4;33;30;0;0;3;0;1 640;1 640;1 898;1 661
117C2;CARDINET 155;PKC1;155A rue  Cardinet;75017;PARIS;31/10/2012;26/10/2012;0;12;0;0;12;0;0;0;0;150;0
112RD;REUILLY20 DIDEROT75;03;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
115LV;THEURIET BARTHOLOME;04;12/16 rue  André Theuriet;75015;PARIS;01/09/2016;28/08/2015;4;31;28;0;0;3;2 214;2 089;2 089;2 561;2 089
112RD;REUILLY20 DIDEROT75;11;20 rue de Reuilly;75012;PARIS;;06/12/2013;0;0;0;0;0;0;0;0;0;0;0
