GROUPE (HP2);NOM GROUPE;BATIMENTS (HP3);Adresse;Code postal;Ville;Date de construction;Date de mise en service;Nb d'escaliers (HP4);Nb de lots;Nb de logements;Nb d'ateliers;Nb de parkings;Nb de commerces;Surface utile SUT;Surface habitable SHAB;Surface réelle SRE;Surface réelle commerces;Surface chauffée SCH
116MG;MURAT 144/154-GROSSETTI;A;152 boulevard  Murat;75016;PARIS;01/12/1956;01/07/1956;2;23;23;0;0;0;0;1 046;1 046;1 046;1 002
116MG;MURAT 144/154-GROSSETTI;CRE1;4 rue du Général Grossetti;75016;PARIS;01/12/1956;01/07/1956;0;1;0;0;0;1;0;0;0;1 089;433
116MG;MURAT 144/154-GROSSETTI;C;146 boulevard  Murat;75016;PARIS;01/12/1956;01/07/1956;2;17;17;0;0;0;0;779;779;779;779
116MG;MURAT 144/154-GROSSETTI;B;152 boulevard  Murat;75016;PARIS;01/12/1956;01/07/1956;4;40;40;0;0;0;0;2 426;2 426;2 426;2 426
116MG;MURAT 144/154-GROSSETTI;PKA1;144/154 boulevard  Murat;75016;PARIS;01/12/1956;01/07/1956;2;21;0;0;21;0;0;0;0;0;0
116MG;MURAT 144/154-GROSSETTI;PKC2;6 rue du Général Grossetti;75016;PARIS;01/12/1956;01/07/1956;0;1;0;0;1;0;0;0;0;16;0
116MO;MOZART 54BIS;01;54BIS avenue  Mozart;75016;PARIS;01/01/1932;13/11/2001;4;28;27;0;0;1;1 068;1 016;1 016;1 231;0
116NI;NICOLO 62;02;62 rue  Nicolo;75016;PARIS;08/06/2016;30/06/2016;2;7;7;0;0;0;536;523;523;589;523
116NI;NICOLO 62;01;62 rue  Nicolo;75016;PARIS;08/06/2016;30/06/2016;2;18;18;0;0;0;1 065;1 032;1 032;1 108;1 032
116PE;POMPE50;AC01;;;;28/01/2015;24/03/2015;0;0;0;0;0;0;0;0;0;0;0
116PG;12PASSY6GAVARNI;02;6 rue  Gavarni;75016;PARIS;;25/09/2023;6;18;13;0;0;5;344;344;344;503;344
116PG;12PASSY6GAVARNI;01;12 rue de Passy;75016;PARIS;;25/09/2023;6;24;19;0;0;4;754;754;754;1 050;754
116PS;PIERRE 1ER DE SERBIE 9;01;9 avenue  Pierre 1er de Serbie;75016;PARIS;;14/12/2000;2;17;16;0;0;1;886;886;886;1 092;241
116PS;PIERRE 1ER DE SERBIE 9;02;9 avenue  Pierre 1er de Serbie;75016;PARIS;05/01/2015;14/12/2000;1;1;1;0;0;0;39;28;28;50;0
116SC;SCHEFFER7-7bis;01;7 rue  Scheffer;75016;PARIS;01/01/1939;01/12/2009;5;46;43;0;0;3;3 236;3 067;3 054;3 537;3 132
116SC;SCHEFFER7-7bis;ADMI;7/7BIS rue  Scheffer;75016;PARIS;01/01/1939;01/12/2009;0;0;0;0;0;0;0;0;0;0;0
116SU;SUCHET;PKC1;101 boulevard  Suchet;75016;PARIS;31/10/2016;17/10/2016;0;155;0;0;155;0;0;0;0;1 764;0
116SU;SUCHET;PKC2;101 boulevard  Suchet;75016;PARIS;31/10/2016;17/10/2016;0;152;0;0;152;0;0;0;0;2 029;0
116SU;SUCHET;01;95/99 boulevard  Suchet;75016;PARIS;31/10/2016;17/10/2016;2;80;79;0;0;0;5 483;5 117;5 117;6 022;5 117
116SU;SUCHET;02;103/109 boulevard  Suchet;75016;PARIS;31/10/2016;17/10/2016;4;99;98;0;0;0;7 098;6 400;6 390;8 036;6 390
117AB;PORTE D'ASNIERES-ILOT B;B1;12 rue de Saint Marceaux;75017;PARIS;01/01/1932;01/01/1932;7;62;59;1;0;1;0;3 565;3 531;3 685;3 490
117AB;PORTE D'ASNIERES-ILOT B;PKC1;11 avenue de la Porte d'Asnières;75017;PARIS;01/01/1932;01/01/1932;0;25;0;0;25;0;0;0;0;300;0
117AB;PORTE D'ASNIERES-ILOT B;B2;15 avenue de la Porte d'Asnières;75017;PARIS;01/01/1932;01/01/1932;4;35;34;0;1;0;0;2 106;2 106;2 156;2 106
117AH;PORTE D'ASNIERES-ILOT H;H3;14 rue de l' Abbé Rousselot;75017;PARIS;01/01/1932;01/01/1932;5;42;37;2;1;1;0;2 481;2 460;3 783;2 547
117AH;PORTE D'ASNIERES-ILOT H;H1;14 rue de l' Abbé Rousselot;75017;PARIS;01/01/1932;01/01/1932;5;38;37;0;1;0;0;2 160;2 160;2 178;2 160
117AH;PORTE D'ASNIERES-ILOT H;H2;3 rue  Jean-Louis Forain;75017;PARIS;01/01/1932;01/01/1932;3;36;35;0;0;1;0;2 058;2 058;2 100;2 058
117AR;ALBERT ROUSSEL 18/20/26;G2G3;20 rue  Albert Roussel;75017;PARIS;01/03/2004;01/04/2004;2;75;74;0;0;0;5 153;4 874;4 874;5 715;4 874
117AR;ALBERT ROUSSEL 18/20/26;G1;26 rue  Albert Roussel;75017;PARIS;01/03/2004;01/04/2004;4;118;25;0;93;0;1 511;1 418;1 418;2 872;1 418
117AS;PORTE D'ASNIERES;A2;8 rue  Sisley;75017;PARIS;01/01/1932;01/01/1932;2;33;33;0;0;0;129;2 267;2 267;2 289;2 267
117AS;PORTE D'ASNIERES;A1;2 rue  Sisley;75017;PARIS;01/01/1932;01/01/1932;4;32;30;0;0;2;125;2 165;2 140;2 274;2 140
117AS;PORTE D'ASNIERES;A3;3 avenue de la Porte d'Asnières;75017;PARIS;01/01/1932;01/01/1932;9;52;45;1;0;5;139;3 782;3 782;5 550;3 976
117AS;PORTE D'ASNIERES;C1;2/4 rue  Redon;75017;PARIS;01/01/1932;01/01/1932;3;48;46;2;0;0;160;3 781;3 781;3 784;3 819
117AS;PORTE D'ASNIERES;D2;108 boulevard  Berthier;75017;PARIS;01/01/1932;01/01/1932;4;18;15;0;0;3;76;1 309;1 309;1 524;1 363
117AS;PORTE D'ASNIERES;D1;4 rue  Fernand Cormon;75017;PARIS;01/01/1932;01/01/1932;3;35;33;0;0;1;120;2 327;2 327;2 391;2 358
117AS;PORTE D'ASNIERES;CHFG;2 rue  Pissarro;75017;PARIS;01/01/1932;01/01/1932;0;0;0;0;0;0;0;0;0;0;0
117AS;PORTE D'ASNIERES;C2;1/3 rue  Fernand Cormon;75017;PARIS;01/01/1932;01/01/1932;4;35;30;2;0;1;51;2 510;2 510;2 748;2 530
117AS;PORTE D'ASNIERES;D3;2 rue de Saint Marceaux;75017;PARIS;01/01/1932;01/01/1932;7;49;43;2;0;4;160;3 143;3 143;3 558;3 240
117AS;PORTE D'ASNIERES;G1;13 rue de Saint Marceaux;75017;PARIS;01/01/1932;01/01/1932;4;52;48;2;0;1;114;3 429;3 429;3 457;3 457
117AS;PORTE D'ASNIERES;F1;1/3 rue  Pissarro;75017;PARIS;01/01/1932;01/01/1932;3;35;31;2;0;1;88;2 466;2 466;2 747;2 489
117AS;PORTE D'ASNIERES;F2;4 rue  Gauguin;75017;PARIS;01/01/1932;01/01/1932;3;52;50;2;0;0;119;3 714;3 714;3 743;3 742
117AS;PORTE D'ASNIERES;G2;10 rue de Saint Marceaux;75017;PARIS;01/01/1932;01/01/1932;3;34;33;0;1;0;116;2 503;2 503;2 565;2 503
117AS;PORTE D'ASNIERES;G3;2 rue  Pissarro;75017;PARIS;01/01/1932;01/01/1932;1;18;16;0;0;1;63;1 396;1 396;1 533;1 400
117B1;GILBERT CESBRON 12 34;PKC1;12 rue  Gilbert Cesbron;75017;PARIS;31/08/2015;01/12/2021;0;132;0;0;132;0;0;0;0;1 590;0
117B1;GILBERT CESBRON 12 34;04;18 rue  Gilbert Cesbron;75017;PARIS;31/08/2015;23/09/2015;3;120;18;0;0;1;3 114;3 045;973;7 092;3 045
117B1;GILBERT CESBRON 12 34;02;26 rue  Gilbert Cesbron;75017;PARIS;31/08/2015;23/09/2015;1;55;55;0;0;0;3 735;3 539;3 539;3 948;3 539
117B1;GILBERT CESBRON 12 34;01;20/24 rue  Gilbert Cesbron;75017;PARIS;31/08/2015;23/09/2015;3;33;30;0;0;2;1 815;1 694;1 694;2 139;1 694
117B1;GILBERT CESBRON 12 34;03;28/34 rue  Gilbert Cesbron;75017;PARIS;31/08/2015;23/09/2015;4;44;43;0;0;0;3 399;3 173;3 173;3 673;3 173
117B2;BOIS LE PRETRE;B;1 rue  Émile Borel;75017;PARIS;01/01/1961;01/09/2015;2;34;32;0;0;1;2 160;2 046;2 046;2 373;2 046
117B5;BOIS LE PRETRE 5;H2;5 boulevard du Bois le Prêtre;75017;PARIS;01/12/1961;01/06/2018;7;106;100;0;0;4;0;7 435;7 435;11 111;7 634
117B5;BOIS LE PRETRE 5;PKC1;5 boulevard du Bois le Prêtre;75017;PARIS;01/12/1961;01/12/2021;0;129;0;0;129;0;0;0;0;1 745;0
117B7;BESSIERES 27 FOYER;01;27 boulevard  Bessières;75017;PARIS;01/01/1910;14/05/2004;3;1;0;0;0;1;0;0;0;105;0
117BA;BATIGNOLLES 61;01;61 rue des Batignolles;75017;PARIS;;15/04/1988;4;18;16;0;0;2;0;615;615;683;0
117BE;BESSIERES-GARNIER-PONT A;ADMI;24/42 boulevard  Bessières;75017;PARIS;01/04/1933;01/01/1933;0;0;0;0;0;0;0;0;0;0;0
117BE;BESSIERES-GARNIER-PONT A;CHF1;4 rue  Frédéric Brunet;75017;PARIS;01/04/1933;01/01/1933;0;0;0;0;0;0;0;0;0;0;0
117BE;BESSIERES-GARNIER-PONT A;B3;21 rue  Frédéric Brunet;75017;PARIS;01/04/1933;01/01/1933;2;49;41;0;0;0;0;2 234;2 209;2 290;7
117BE;BESSIERES-GARNIER-PONT A;A2;7 rue  Fernand Pelloutier;75017;PARIS;01/04/1933;01/01/1933;4;86;75;0;0;0;0;3 689;3 689;3 755;0
117BE;BESSIERES-GARNIER-PONT A;A1;10 rue de Pont-à-Mousson;75017;PARIS;01/04/1933;01/01/1933;3;60;50;0;0;0;0;2 458;2 458;2 506;0
117BE;BESSIERES-GARNIER-PONT A;C1;4 rue  Louis Loucheur;75017;PARIS;01/04/1933;01/01/1933;6;77;66;0;0;2;0;2 967;2 967;3 175;2 967
117BE;BESSIERES-GARNIER-PONT A;C2;13 rue  Francis Garnier;75017;PARIS;01/04/1933;01/01/1933;4;88;85;0;0;2;0;4 691;4 691;4 879;4 630
117BE;BESSIERES-GARNIER-PONT A;B1;19 rue  Frédéric Brunet;75017;PARIS;01/04/1933;01/01/1933;5;66;65;0;0;0;0;3 107;3 107;3 138;0
117BE;BESSIERES-GARNIER-PONT A;RES1;;;;01/04/1933;01/01/1933;0;0;0;0;0;0;0;0;0;0;0
117BE;BESSIERES-GARNIER-PONT A;D1;4 rue  Frédéric Brunet;75017;PARIS;01/04/1933;01/01/1933;9;76;64;0;0;5;0;2 922;2 922;3 253;2 827
