HP2;Chaufferie multi HP;Nom Groupe;Nombre de logements;Date de construction;Adresse;Adresse (suite);Code Postal;Ville;Type combustible;Code site;Site;Type d'équipement;Equipement;Commentaire;Marque;Modèle;Puissance;Sous-station chauffage (numéro équipement);Présence Cogénération;Date de mise en service / Date de rénovation;Sonde extérieure avec régulation;Panneaux solaire photovoltaique;Thermique;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération
119C6;119CK;CAMBRAI 16/18 ILN;54;01/10/1979;16/18 Cambrai;;75019;PARIS;CPCU;CHF0000098;18 RUE DE CAMBRAI;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;COLLARD TROLART;ECHANGEUR CPCU HELICOTHERM HT 200/62;1200;EQP1025368;;01/01/2014;OUI;;;Isolation des toitures terrasses. Mise en place en toiture terrasse d’un doublage extérieur isolant;11/01/2022;1618 RUE CAMBRAI;;;
119C6;119CK;CAMBRAI 16/18 ILN;54;01/10/1979;16/18 Cambrai;;75019;PARIS;CPCU;CHF0000098;18 RUE DE CAMBRAI;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 1;COLLARD TROLART;ECHANGEUR CPCU HELICOTHERM HT 250/88;1700;EQP1025368;;01/01/2014;OUI;;;Isolation des toitures terrasses. Mise en place en toiture terrasse d’un doublage extérieur isolant;11/01/2022;1618 RUE CAMBRAI;;;
119CA;;CAVENDISH 26;20;01/06/1958;24/26 rue Cavendish;;75019;PARIS;Gaz;CHF0000169;26 RUE CAVENDISH;CHAUDIERE;CHAUDIERE N° 1;X 1;DE DIETRICH;CHAUDIERE N° 1 GT 304;100;;;01/01/2003;OUI;;;Chaudière à condensation avec contrat d'exploitation;30/06/2014;24 rue Cavendish;;;
119CA;;CAVENDISH 26;20;01/06/1958;24/26 rue Cavendish;;75019;PARIS;Gaz;CHF0000169;26 RUE CAVENDISH;CHAUDIERE;CHAUDIERE N° 2;X 1;RIELLO;CHAUDIERE N° 2 TAU 110 UNIT;110;;;01/01/2014;OUI;;;Chaudière à condensation avec contrat d'exploitation;30/06/2014;24 rue Cavendish;;;
119CB;;COMPANS-BELLEVILLE;29;01/01/1976;213 Belleville;;75019;PARIS;Gaz;CHF0000451;213 RUE DE BELLEVILLE;CHAUDIERE;CHAUDIERE;X 1;RIELLO;CHAUDIERE CONDEXA PRO 3 IN 345;340;EQP1025522;;01/01/2015;OUI;;;Chaudière à haute performance énergétique;01/10/2015;213 rue de Belleville;;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;537;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;533;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;636;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;561;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;550;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;543;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;632;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;547;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;555;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;609;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;575;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;544;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;544;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;575;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;546;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;546;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CC;;CURIAL-CAMBRAI-G.TESSIER;1771;01/04/1969;Curial (rue ) n° 65/93 94/100;;75019;PARIS;CPCU;CHF0000197;3 TER RUE DE CAMBRAI;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE;X 1;ATLANTIC GUILLOT;ECHANGEUR PRIMAIRE GCD-016-H-4;499;EQP1025091;;01/01/2015;OUI;;;"Isolation des murs
Isolation d'un plancher
Isolation des toitures terrasses
Ventilation Mécanique Contrôlée simple flux hygroréglable
Réhabilitation globale d'un bâtiment résidentiel";"2014
22/07/2014";"240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
240/242 rue Curial
3 ter rue de Cambrai";;;
119CI;119CU;CURIAL 13BIS ILN;107;01/05/1980;13BIS Curial;;75019;PARIS;CPCU;CHF0000412;17 RUE CURIAL;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 3;COLLARD TROLART;ECHANGEUR CPCU HELICOTHERM HT 200/62C;1200;EQP1025249;;01/01/2013;OUI;;;;;;;;
119CL;;CLAVEL 14/16;76;01/07/1960;14/16BIS Clavel;;75019;PARIS;Gaz;CHF0000062;14 RUE CLAVEL;CHAUDIERE;CHAUDIERE 1;X 1;HOVAL;CHAUDIERE 1 UG 300;300;;;01/01/2014;OUI;;;Chaudière à condensation avec contrat d'exploitation;11/06/2014;14 rue Clavel;;;
119CL;;CLAVEL 14/16;76;01/07/1960;14/16BIS Clavel;;75019;PARIS;Gaz;CHF0000062;14 RUE CLAVEL;CHAUDIERE;CHAUDIERE 2;X 1;HOVAL;CHAUDIERE 2 UNO 220;220;;;01/01/2014;OUI;;;Chaudière à condensation avec contrat d'exploitation;11/06/2014;14 rue Clavel;;;
119CM;;CHAUFOURNIERS-MATHURIN;75;01/10/1955;3/13 avenue Mathurin Moreau;;75019;PARIS;Gaz;CHF0000357;9 AV MATHURIN MOREAU;CHAUDIERE;CHAUDIERE;X 2;DE DIETRICH;CHAUDIERE ECO 230 -210;200;;;01/01/2009;OUI;;;;;;;;
119CR;;CRIMEE-MODERNE;234;01/09/1974;97/101 Crimée 2 3 Moderne;;75019;PARIS;Gaz;CHF0000364;97 RUE DE CRIMéE - ESC 4;CHAUDIERE;CHAUDIERE GAZ;X 5;ATLANTIC GUILLOT;CHAUDIERE GAZ MODULONOX M480;450;;;01/01/2002;OUI;;OUI;;;;;;
119DJ;;DOCTEUR POTAIN-JEAN QUAR;194;01/11/1972;17/23 Docteur Potain;;75019;PARIS;Gaz;CHF0000152;23 RUE DU DOCTEUR POTAIN;CHAUDIERE;CHAUDIERE N° 1;X 1;VIESSMANN;CHAUDIERE N° 1 VITOCROSSAL 300;635;EQP1025109;;01/01/2006;OUI;;;;;;;;
119DJ;;DOCTEUR POTAIN-JEAN QUAR;194;01/11/1972;17/23 Docteur Potain;;75019;PARIS;Gaz;CHF0000152;23 RUE DU DOCTEUR POTAIN;CHAUDIERE;CHAUDIERE N° 2;X 1;VIESSMANN;CHAUDIERE N° 2 VITOCROSSAL 300;635;EQP1025109;;01/01/2006;OUI;;;;;;;;
119DJ;;DOCTEUR POTAIN-JEAN QUAR;194;01/11/1972;17/23 Docteur Potain;;75019;PARIS;Gaz;CHF0000152;23 RUE DU DOCTEUR POTAIN;CHAUDIERE;CHAUDIERE N° 4;X 1;VIESSMANN;CHAUDIERE N° 4 VITOCROSSAL 200;311;EQP1025109;;01/01/2006;OUI;;;;;;;;
119DJ;;DOCTEUR POTAIN-JEAN QUAR;194;01/11/1972;17/23 Docteur Potain;;75019;PARIS;Gaz;CHF0000152;23 RUE DU DOCTEUR POTAIN;CHAUDIERE;CHAUDIERE N° 3;X 1;VIESSMANN;CHAUDIERE N° 3 VITOCROSSAL 200;311;EQP1025109;;01/01/2006;OUI;;;;;;;;
119EP;;EDGAR POE 5/7;32;01/01/1931;Edgar Poë (rue ) n° 5/7;;75019;PARIS;Gaz;CHF0000724;5 RUE EDGAR POE;CHAUDIERE;CHAUDIERE;X 1;DE DIETRICH;CHAUDIERE DTG;54;;;01/01/2006;OUI;;;;;;;;
119EP;;EDGAR POE 5/7;32;01/01/1931;Edgar Poë (rue ) n° 5/7;;75019;PARIS;Gaz;CHF0000725;7 RUE EDGAR POE;CHAUDIERE;CHAUDIERE;X 1;DE DIETRICH;CHAUDIERE DTG;54;;;01/01/2009;OUI;;;;;;;;
119FL;;FLANDRE 41;262;01/04/1973;37/47 Flandre;;75019;PARIS;Gaz;CHF0000244;35/39 AV DE FLANDRES;CHAUDIERE;CHAUDIERE 1;X 1;TRANSTUB;CHAUDIERE 1 P 650;755;;;01/01/1971;OUI;;;Chaudière à haute performance énergétique;07/03/2018;41 avenue de Flandre;;;
119FL;;FLANDRE 41;262;01/04/1973;37/47 Flandre;;75019;PARIS;Gaz;CHF0000244;35/39 AV DE FLANDRES;CHAUDIERE;CHAUDIERE 2;X 1;TRANSTUB;CHAUDIERE 2 P 650;755;;;01/01/1971;OUI;;;Chaudière à haute performance énergétique;07/03/2018;41 avenue de Flandre;;;
119FL;;FLANDRE 41;262;01/04/1973;37/47 Flandre;;75019;PARIS;Gaz;CHF0000244;35/39 AV DE FLANDRES;CHAUDIERE;CHAUDIERE 3;X 1;TRANSTUB;CHAUDIERE 3 P 650;755;;;01/01/1971;OUI;;;Chaudière à haute performance énergétique;07/03/2018;41 avenue de Flandre;;;
119FL;;FLANDRE 41;262;01/04/1973;37/47 Flandre;;75019;PARIS;Gaz;CHF0000244;35/39 AV DE FLANDRES;CHAUDIERE;CHAUDIERE 4;X 1;TRANSTUB;CHAUDIERE 4 P 650;755;;;01/01/1971;OUI;;;Chaudière à haute performance énergétique;07/03/2018;41 avenue de Flandre;;;
119FP;;FRANCOIS PINTON 5;24;01/01/1930;François Pinton (rue ) n° 5;;75019;PARIS;Gaz;CHF0000674;5 RUE FRANçOIS PINTON;CHAUDIERE;CHAUDIERE;X 1;DE DIETRICH;CHAUDIERE GTI 307;184;;;01/01/2001;OUI;;;;;;;;
119FR;;FLANDRE 59-RIQUET 27;149;01/11/1960;Flandre (avenue de ) n° 59/61;;75019;PARIS;CPCU;CHF0000291;59 AV DE FLANDRE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEURS CPCU 1;X 1;BAELZ;ECHANGEURS CPCU 1 106-42-45-FN-TURBO;740;;;01/01/2006;OUI;;;;;;;;
119FR;;FLANDRE 59-RIQUET 27;149;01/11/1960;Flandre (avenue de ) n° 59/61;;75019;PARIS;CPCU;CHF0000291;59 AV DE FLANDRE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEURS CPCU 2;X 1;BAELZ;ECHANGEURS CPCU 2 106 -61 - 45 - FN-S;1250;;;01/01/2011;OUI;;;;;;;;
119FT;"119RT
119MT
119FL
119FR";FLANDRE-TANGER;308;01/01/1955;49TER/55 Flandre 24/28 Tanger;;75019;PARIS;Gaz;CHF0000178;22-28 RUE DE TANGER;CHAUDIERE;CHAUDIERE 1;X 1;DE DIETREICH;CHAUDIERE 1 GT 530-18;1000;;;01/01/2011;OUI;;;;;;;;
119FT;"119RT
119MT
119FL
119FR";FLANDRE-TANGER;308;01/01/1955;49TER/55 Flandre 24/28 Tanger;;75019;PARIS;Gaz;CHF0000178;22-28 RUE DE TANGER;CHAUDIERE;CHAUDIERE 2;X 1;DE DIETREICH;CHAUDIERE 2 GT 530-18;1000;;;01/01/2011;OUI;;;;;;;;
119FT;"119RT
119MT
119FL
119FR";FLANDRE-TANGER;308;01/01/1955;49TER/55 Flandre 24/28 Tanger;;75019;PARIS;Gaz;CHF0000178;22-28 RUE DE TANGER;CHAUDIERE;CHAUDIERE 3;X 1;SECCACIER;CHAUDIERE 3 PRESSUREX L 1000;1000;;;01/01/1998;OUI;;;;;;;;
119HT;;HENRI TUROT 7/15;145;01/04/1934;Henri Turot (rue ) n° 7/17;;75019;PARIS;Gaz;CHF0000085;15 RUE HENRI TUROT;CHAUDIERE;CHAUDIERE N° 1;X 1;SECCACIER;CHAUDIERE N° 1 TRIVAREX 1;240;;;01/01/2000;OUI;;;Chaudière à haute performance énergétique;15/11/2017;7 RUE HENRI TUROT;;;
119HT;;HENRI TUROT 7/15;145;01/04/1934;Henri Turot (rue ) n° 7/17;;75019;PARIS;Gaz;CHF0000085;15 RUE HENRI TUROT;CHAUDIERE;CHAUDIERE N° 2;X 1;SECCACIER;CHAUDIERE N° 2 TRIVAREX 1;240;;;01/01/2000;OUI;;;Chaudière à haute performance énergétique;15/11/2017;7 RUE HENRI TUROT;;;
119HT;;HENRI TUROT 7/15;145;01/04/1934;Henri Turot (rue ) n° 7/17;;75019;PARIS;Gaz;CHF0000328;7/13 RUE HENRI TUROT;CHAUDIERE;CHAUDIERE GAZ;X 2;HOVAM;CHAUDIERE GAZ ULTRAGAS;350;;;01/01/2016;OUI;;;Chaudière à haute performance énergétique;15/11/2017;7 RUE HENRI TUROT;;;
119IA;;INSPECTEUR ALLES-PRE ST-;261;01/12/1975;6 Inspecteur Allès 35 Bois;72/86 Pré Saint Gervais;75019;PARIS;Gaz;CHF0000300;6 RUE DE L'INSPECTEUR ALLES;CHAUDIERE;CHAUDIERE N° 3 + REGUL DIEMATIC;X 1;DE DIETRICH;CHAUDIERE N° 3 + REGUL DIEMATIC GTE 512;650;;;01/01/2001;OUI;;OUI;rénovation de la chaufferie gaz et renovation solaire thermique (2023);2022;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;30/06/2023;6 rue de l'inspecteur Alles
119IA;;INSPECTEUR ALLES-PRE ST-;261;01/12/1975;6 Inspecteur Allès 35 Bois;72/86 Pré Saint Gervais;75019;PARIS;Gaz;CHF0000300;6 RUE DE L'INSPECTEUR ALLES;CHAUDIERE;CHAUDIERE N° 2 + REGUL DIEMATIC;X 1;DE DIETRICH;CHAUDIERE N° 2 + REGUL DIEMATIC GTE 512;650;;;01/01/2001;OUI;;OUI;rénovation de la chaufferie gaz et renovation solaire thermique (2023);2022;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;30/06/2023;6 rue de l'inspecteur Alles
119IA;;INSPECTEUR ALLES-PRE ST-;261;01/12/1975;6 Inspecteur Allès 35 Bois;72/86 Pré Saint Gervais;75019;PARIS;Gaz;CHF0000300;6 RUE DE L'INSPECTEUR ALLES;CHAUDIERE;CHAUDIERE N° 1 + REGUL DIEMATIC;X 1;DE DIETRICH;CHAUDIERE N° 1 + REGUL DIEMATIC GTE 512;650;;;01/01/2001;OUI;;OUI;rénovation de la chaufferie gaz et renovation solaire thermique (2023);2022;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;30/06/2023;6 rue de l'inspecteur Alles
119IS;;INDOCHINE-SERURIER-PTE B;1204;01/01/1934;Indochine (boulevard d' ) n° 1/23;;75019;PARIS;CPCU;CHF0000038;12 AV AMBROISE RENDU;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE CHAUFFAGE;X 1;SAKKARAH;ECHANGEUR PRIMAIRE CHAUFFAGE SE#0070;294;;;01/01/2016;OUI;OUI;;"Calorifugeage réseau hydraulique de chauffage
Isolation d’un réseau hydraulique d’eau chaude sanitaire 
Calorifugeage réseau hydraulique de chauffage";"13/11/2017
24/11/2017
12/01/2018";"12 AVENUE AMBROISE RENDU
12 AVENUE AMBROISE RENDU
2 rue de la Corrèze";REHABILITATION ET PLAN CLIMAT;15/03/2027;
119IS;;INDOCHINE-SERURIER-PTE B;1204;01/01/1934;Indochine (boulevard d' ) n° 1/23;;75019;PARIS;CPCU;CHF0000038;12 AV AMBROISE RENDU;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE ECS;X 1;SAKKARAH;ECHANGEUR PRIMAIRE ECS SE#0070;375;;;01/01/2016;OUI;OUI;;"Calorifugeage réseau hydraulique de chauffage
Isolation d’un réseau hydraulique d’eau chaude sanitaire 
Calorifugeage réseau hydraulique de chauffage";"13/11/2017
24/11/2017
12/01/2018";"12 AVENUE AMBROISE RENDU
12 AVENUE AMBROISE RENDU
2 rue de la Corrèze";REHABILITATION ET PLAN CLIMAT;15/03/2027;
119IS;;INDOCHINE-SERURIER-PTE B;1204;01/01/1934;Indochine (boulevard d' ) n° 1/23;;75019;PARIS;CPCU;CHF0000059;14 AV AMBROISE RENDU;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE CHAUFFAGE;X 1;SAKKARAH;ECHANGEUR PRIMAIRE CHAUFFAGE SE#0070;340;;;01/01/2016;OUI;OUI;;"Calorifugeage réseau hydraulique de chauffage
Isolation d’un réseau hydraulique d’eau chaude sanitaire 
Calorifugeage réseau hydraulique de chauffage";"13/11/2017
24/11/2017
12/01/2018";"12 AVENUE AMBROISE RENDU
2 rue de la Corrèze";REHABILITATION ET PLAN CLIMAT;15/03/2027;
119IS;;INDOCHINE-SERURIER-PTE B;1204;01/01/1934;Indochine (boulevard d' ) n° 1/23;;75019;PARIS;CPCU;CHF0000059;14 AV AMBROISE RENDU;ECHANGEUR DE CHALEUR EAU/EAU;ECHANGEUR PRIMAIRE ECS;X 1;SAKKARAH;ECHANGEUR PRIMAIRE ECS SE#0070;375;;;01/01/2016;OUI;OUI;;"Calorifugeage réseau hydraulique de chauffage
Isolation d’un réseau hydraulique d’eau chaude sanitaire 
Calorifugeage réseau hydraulique de chauffage";"13/11/2017
24/11/2017
12/01/2018";"12 AVENUE AMBROISE RENDU
2 rue de la Corrèze";REHABILITATION ET PLAN CLIMAT;15/03/2027;
