HP2;Chaufferie multi HP;Nom Groupe;Nombre de logements;Date de construction;Adresse;Adresse (suite);Code Postal;Ville;Type combustible;Code site;Site;Type d'équipement;Equipement;Commentaire;Marque;Modèle;Puissance;Sous-station chauffage (numéro équipement);Présence Cogénération;Date de mise en service / Date de rénovation;Sonde extérieure avec régulation;Panneaux solaire photovoltaique;Thermique;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération
110DE;;DENAIN 4/6/8;0;01/01/1910;Denain (boulevard de ) n° 4/8;;75010;PARIS;CPCU;CHF0000526;6-8 BD DENAIN;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 1;COLLARD & TROLART;ECHANGEUR CPCU HT 125/40;308;;;01/01/2013;OUI;;;Réhabilitation d'un poste de livraison de chaleur;11/06/2014;6/8 rue Denain;Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel;25/11/2021;6 boulevard Denain
110GB;;GRANGE AUX BELLES 55;106;01/07/1980;55 Grange aux Belles;11 Boy Zélenski;75010;PARIS;CPCU;CHF0000287;55 RUE DE LA GRANGE AUX BELLES;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;COLLARD TROLART;ECHANGEUR CPCU HELICOTHERM HT 200/62;850;;;01/01/2014;OUI;;;Réhabilitation d'un poste de livraison de chaleur;05/06/2014;55 rue de la Grange aux Belles;;;
110GE;;GRANGEBELLES 41-47;89;01/01/1972;41 à 47 Rue la Grange aux Belles;1 Rue des Ecluses Saint Martin;75010;PARIS;CPCU;CHF0000693;41-47 RUE DE LA GRANGE AUX BELLES;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N° 1;X 1;COLLARD TROLART;ECHANGEUR CPCU N° 1 HT 200/62;700;;;01/01/2014;OUI;;;;;;;;
110GE;;GRANGEBELLES 41-47;89;01/01/1972;41 à 47 Rue la Grange aux Belles;1 Rue des Ecluses Saint Martin;75010;PARIS;CPCU;CHF0000693;41-47 RUE DE LA GRANGE AUX BELLES;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU N° 2;X 1;ALFA LAVAL;ECHANGEUR CPCU N° 2 CETECOIL S1450M;700;;;01/01/2007;OUI;;;;;;;;
110GP;;GUY PATIN 9;67;01/01/1920;9 rue Guy Patin;;75010;PARIS;Gaz;CHF0000620;9 RUE GUY PATIN;CHAUDIERE;CHAUDIERE;X 2;ATLANTIC GUILLOT;CHAUDIERE VARBLOCK;100;;;01/01/2016;OUI;;;Chaudière à haute performance énergétique;05/09/2016;9 rue Guy Patin;;;
110HA;;HAUTEVILLE 49;49;30/12/1999;Hauteville (rue d' ) n° 49;;75010;PARIS;Gaz;CHF0000498;49 RUE HAUTEVILLE;CHAUDIERE;CHAUDIERE;X 2;DE DIETRICH;CHAUDIERE GT 306;150;;;01/01/1999;OUI;;;rénovation de la chaufferie gaz;2022;;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;16/08/2022;49 RUE D'HAUTEVILLE
110LE;;LEGOUVE 3/5-MARAIS;34;01/01/1935;3/5 rue legouvé;;75010;PARIS;Gaz;CHF0000423;5 RUE LEGOUVE;CHAUDIERE;CHAUDIERE GAZ;X 2;SECCACIER;CHAUDIERE GAZ TRIVAREX 1;250;;;01/01/2000;OUI;;;"Chaudière collective haute performance énergétique 
avec contrat assurant la conduite de l’installation";22/09/2021;35 rue Legouve;Chaudière      collective      haute      performance énergétique avec contrat  assurant  la  conduite de l’installation;22/09/2021;35 rue Legouve
110LS;;SAMPAIX 44 BIS;12;01/01/1875;44 bis rue Lucien Sampaix;;75010;PARIS;Gaz;CHF0000748;44 BIS RUE LUCIEN SAMPAIX;CHAUDIERE;CHAUDIERE;X 2;ELCO;CHAUDIERE RENDAMAX TRIGON;85;;;01/01/2010;OUI;;;;;;;;
110T5;;TERRAGE 15/19;66;01/05/1960;15/19 Terrage;;75010;PARIS;Gaz;CHF0000084;15 RUE DU TERRAGE;CHAUDIERE;CHAUDIERE GAZ;X 3;ATLANTIC GUILLOT;CHAUDIERE GAZ VARBLOCK;150;;;01/01/2018;OUI;;;Chaudière à haute performance énergétique;10/08/2018;15 rue du Terrage;;;
110VE;;VELLEFAUX-SAMBRE & MEUSE;108;01/01/1973;30/36 Claude Vellefaux;22/24 Sambre-et-Meuse;75010;PARIS;Gaz;CHF0000215;24 RUE SAMBRE ET MEUSE;CHAUDIERE;CHAUDIERE N°1;X 1;RIELLO;CHAUDIERE N°1 TAU 400N;438;;;01/01/2013;OUI;;OUI;Chaudière à condensation avec contrat d'exploitation;09/09/2014;24 rue Sambre et Meuse;Isolation des murs. Mise en place d’un doublage isolant (complexe ou sur ossature) sur mur(s) en façade ou en pignon. ;03/11/2021;34 rue Vellefaux
