DONNEES PATRIMONIALES;;;;;;;;;;;;EQUIPEMENTS INDIVIDUELS GAZ;;;;;;;;;; EQUIPEMENTS COLLECTIFS ;;;;; Modèles des chaudières ; Radiateurs électriques ; Panneaux solaires photovoltaique ; Thermiques ;DONNEES TRAVAUX IMMEUBLE;;;;;;;
;;;;;;;;;;;;Chaudières standard ou Basse Température raccordées sur ;;;;Chaudières à condensation raccordées sur:;;;;Autres;;;;;;;;;;;;;;;;;;
HP2;Nom du groupe;Nombre de logements;Date de construction;Adresse;Code postal;Ville;DT;Nb d'équipements individuels gaz;Nb d'équipements collectifs;"Années (chaudières & chauffe-bains)
à titre indicatif";Années rempl des caissons;Conduit de fumées; Ventouse;DSC;3CE;Conduit tubé condens.;Ventouse;3CE;Solaire ventouse;"Chauffe-eau gaz / 
Chauffe bain gaz";Radiateur gaz; VMC Sanitaire ;" VMC individuelle /
Tourelles "; Astato mécanique ; VMC Gaz ; Conduit 3CE ;;;;;P3R;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;
120G9;GAMBETTA 119;21;01/01/1910;119 av Gambetta;75020;PARIS;ES;18;0;2010;;3;4;;;;11;;;;;;;;;;;;;;;;;;;;;
120GT;GAMBETTA-TOURELLES      ;54;01/06/1952;239 avenue Gambetta;75020;PARIS;ES;40;0;2016;;15;5;;;1;19;;;;;;;;;;"10 ACLEIS 24 TN NGLM 24 (ELM)-CF/
1 MEGALIA CGLA24 (CF)/
4 INOA EVO 25FF (BT ventouse)/
2 INOA EVO 25 CF EU (CF)/
10 MEGALIA CONDENS AGVAC 24/
1 MIRA C GREEN 25 FF EU (condens ventouse)/
+ 5 autres";;;;2016;Chaudière individuelle haute performance énergétique;14/11/2017;239 AVENUE GAMBETTA;;;;
120HB;HAXO-BORREGO;60;01/07/1956;77 rue Haxo;75020;PARIS;ES;60;3;2011;;;60;;;;;;;;;3;;;;;;;;;;;;;;;;
120HJ;HELENE JACKUBOWITZ 22;14;20/06/2000;22 Hélène Jacubowitz;75020;PARIS;ES;14;5;2022;;;8;;;;6;;;;;5;;;;;;;;;2022;;;;;;;
120I5;VILLIERS L'ISLE ADAM 95 ;2;01/05/1993;95 rue Villiers de l'Isle Adam;75020;PARIS;ES;1;0;2011;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
120I9;VILLIERS DE L ISLE ADAM;11;15/12/2014;2 rue Villiers de l Isle Adam;75020;PARIS;ES;9;1;2009;;;;;;0;9;;;;;1;;;;;DE DIETRICH CONDENSATION MCX 24/28 MI ;;;;;;;;;;;
220BE;BELGRAND 45;126;01/06/1929;"45 Belgrand 
3 Geo Chavez";75020;PARIS;ES;122;1;2014;;122;;;;;;;;;;1;;;;;;;;;;Chaudière individuelle basse température;27/05/2014;45 rue Belgrand / 3 rue Geo Chavez;;;;
220MO;MORTIER 36/56;344;01/12/1930;"36/56 Mortier 
3 Victor Dejeante";75020;PARIS;ES;339;0;2021;;4;;;;282;53;;;;;;;;;;ATLANTIC NAIA 2 MICRO 25;;;;2021;REHABILITATION ET PLAN CLIMAT;15/03/2027;;;;;
220TG;TELEGRAPHE-BORREGO;208;01/11/1921;"28 Télégraphe 
17/21 Borrégo";75020;PARIS;ES;209;0;2016;;206;;;;;2;;;1;;;;;;;"2 MIRA C GREEN
201 INOA EVO 25 CF EU";;;;2016;;;;;;;
112C3;CHARENTON103/103BIS;33;31/01/2007;103/103BIS rue de Charenton;75012;PARIS;ES;25;3;2021;;;;;;;12;13;;;;3;;;;3;ATLANTIC NAIA 2 MICRO 25;;;;2021;;;;;;;
112CR;CHARENTON-RAMBOUILLET;48;06/03/2002;160/164 rue de Charenton;75012;PARIS;ES;48;5;2014;;;48;;;;;;;;;5;;;;;;;;;;Chaudière individuelle basse température;01/07/2014;160/164 rue de Charenton / 35 rue de Rambouillet;;;;
112DL;DAUMESNIL 280;12;01/01/1880;280 avenue Daumesnil;75012;PARIS;ES;12;1;2011;;12;;;;;;;;;;1;;;;;;;;;;;;;;;;
112DM;DAUMESNIL 270;20;17/07/2009;270 avenue Daumesnil;75012;PARIS;ES;20;3;2009;;;20;;;;;;;;;3;;;;;;;;;2023;Chaudière   individuelle   à    haute   performance énergétique;13/07/2023;270 bis avenue Daumesnil;;;;
112DO;DORIAN-P.BOURDAN-PICPUS;165;01/08/1950;10 rue Dorian;75012;PARIS;ES;153;10;2021;;;2;;;;151;;;;;10;;;;;ATLANTIC NAIA 2 MICRO 25;;;;2021;;;;;;;
112JA;JAUCOURT-PICPUS;24;01/09/1955;1 rue Jaucourt;75012;PARIS;ES;24;2;2014;;;24;;;;;;;;;2;;;;;;;;;;Chaudière individuelle basse température;13/05/2014;1 rue Jaucourt;;;;
112LY;45 RUE DE LYON;17;18/12/2020;45 rue de Lyon;75012;PARIS;ES;10;0;2003 - Travaux DT à venir;;8;2;;;;;;;;;;;;;;;;;;;;;;;;;
112LY;45 RUE DE LYON;17;18/12/2020;45 rue de Lyon;75012;PARIS;ES;10;0;2003 - Travaux DT à venir;;9;1;;;;;;;;;1;;;;;;;;;;;;;;;;
112RT;EDOUARD ROBERT-TOURNEUX;608;01/04/1924;2/32 Edouard Robert;75012;PARIS;ES;;0;2001 - réha 2017 à 2021;;;;;;595;;;;;;;;;;;;;;;;"Chaudière à condensation (bâtiment tertiaire)

REHABILITATION ET PLAN CLIMAT";"30/11/2013

15/03/2022";16 rue Edouard Robert;;;;
112RT;EDOUARD ROBERT-TOURNEUX;608;01/04/1924;2/32 Edouard Robert;75012;PARIS;ES;595;0;2001 - réha 2017 à 2021;;;;;;583;;;;;;;583;;;;;;;;;"Chaudière à condensation (bâtiment tertiaire)

REHABILITATION ET PLAN CLIMAT";"30/11/2013

15/03/2022";16 rue Edouard Robert;;;;
112S8;FBG SAINT ANTOINE 80;29;01/01/1895;80 rue du Faubourg Saint Antoine;75012;PARIS;ES;17;0;2014;;;17;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;19/05/2014;80 rue du Faubourg Saint Antoine;;;;
112SA;FBG ST ANTOINE 84       ;19;01/01/1920;84 rue du Fbg St Antoine;75012;PARIS;ES;8;2;2010;;8;;;;;;;;;;2;;;;;;;;;;;;;;;;
120AD;ALEXANDRE DUMAS 101;8;01/01/1850;101 rue Alexandre Dumas;75020;PARIS;ES;8;1;2019;;;;;;;8;;;;;1;;;;;MEGALIS CONDENS ;;;;2019;Chaudière individuelle haute performance énergétique;22/05/2019;10 rue Alexandre Dumas 75020;;;;
120AM;AMIENS;249;01/07/1954;"1/3 2/4 Amiens 
5/7 Harpignies";75020;PARIS;ES;8;1;2006;;;;;;;;;;8;;1;;;;;ELM  - LM10;;;;;;;;;;;
120BL;BAGNOLET 108;9;01/01/1780;108 rue de Bagnolet;75021;PARIS;ES;3;2;;;3;;;;;;;;;;2;;;;;SD- THEMAPLUS COND 25;;;;;;;;;;;
