DONNEES PATRIMONIALES;;;;;;;;;;;;EQUIPEMENTS INDIVIDUELS GAZ;;;;;;;;;; EQUIPEMENTS COLLECTIFS ;;;;; Modèles des chaudières ; Radiateurs électriques ; Panneaux solaires photovoltaique ; Thermiques ;DONNEES TRAVAUX IMMEUBLE;;;;;;;
;;;;;;;;;;;;Chaudières standard ou Basse Température raccordées sur ;;;;Chaudières à condensation raccordées sur:;;;;Autres;;;;;;;;;;;;;;;;;;
HP2;Nom du groupe;Nombre de logements;Date de construction;Adresse;Code postal;Ville;DT;Nb d'équipements individuels gaz;Nb d'équipements collectifs;"Années (chaudières & chauffe-bains)
à titre indicatif";Années rempl des caissons;Conduit de fumées; Ventouse;DSC;3CE;Conduit tubé condens.;Ventouse;3CE;Solaire ventouse;"Chauffe-eau gaz / 
Chauffe bain gaz";Radiateur gaz; VMC Sanitaire ;" VMC individuelle /
Tourelles "; Astato mécanique ; VMC Gaz ; Conduit 3CE ;;;;;P3R;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;
104FB;FRANCS BOURGEOIS 29BIS;14;01/01/1700;29ter rue des Francs-Bourgeois;75004;PARIS;SE;14;3;2022;;;;;;;6;8;;;;1;;;;2;ELM LEBLANC MELIA I CONDENS;;;;2022;;;;;;;
104LP;PONT LOUIS PHILIPPE13/23;85;01/01/1840;13/23 Pont Louis-Philippe;75004;PARIS;SE;85;0;2014;;85;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;22/10/2014;13/23 rue du Pont Louis-Philippe / 26 rue François Miron;;;;
104VE;VENISE - QUINCAMPOIX;8;01/01/1850;30 Venise 56 Quincampoix;75004;PARIS;SE;8;1;2012;;;;8;;;;;;;;;;;1;;;;;;;;;;;;;
105AN;ANGLAIS 9/13;22;01/01/1830;9 rue des Anglais;75005;Paris;SE;22;2;2018;2 caissons gaz:P3R 2018;;;22;;;;;;;;;;;2;;"21 MEGALIS CGLA 23-7MN5 (ELM); 1 EGALIS BALLON NGLB 23 VMC (ELM)";;;;2018;;;;;;;
105BE;BERNARDINS 6 - BIEVRE 3;17;01/01/1700;6 Bernardins 3 Bièvre;75005;Paris;SE;17;2;2014;;;;17;;;;;;;;;;;2;;;;;;;Chaudière individuelle basse température;30/12/2014;6 rue des Bernardins / 3 rue de Bièvre;;;;
105CA;CARMES - ECOLE POLYTECHN;63;01/01/1934;15/21 Carmes;75005;Paris;SE;46;0;2003 - plan climat 2018;;43;3;;;;;;;;;;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/09/2024;;;;;
105D4;DESCARTES 14;4;01/01/1750;Descartes (rue) 14;75005;Paris;SE;4;1;2020;;;;;;;;4;;;;0;;;;1;MEGALIA CONDENS ;;;;2020;;;;;;;
105F3;FREDERIC SAUTON 3;12;01/01/1700;Frédéric Sauton (rue) 3;75005;Paris;SE;12;1;2016;;;4;;;;8;;;;;1;;;;;CHAFFOTEAUX 7 MEGALIA AGVC24-5MN - 4 MEGALIA NGVA 24 -5H;;;;2016;Chaudière individuelle haute performance énergétique;07/06/2016;3 RUE FREDERIC SAUTON;;;;
105FS;FREDERIC SAUTON 23;10;01/01/1700;23 Frédéric Sauton;75005;Paris;SE;10;0;2013;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
105G4;GALANDE 44;9;01/01/1750;Galande (rue) 44;75005;Paris;SE;9;0;2014;;9;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;30/06/2014;44 rue Galande;;;;
105G6;GALANDE 65;18;01/01/1700;Galande (rue) 65;75005;Paris;SE;18;0;2014;;18;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;30/06/2014;65 rue Galande;;;;
105GE;GEOFFROY ST HILAIRE 28;8;01/06/1986;Geoffroy Saint Hilaire (rue) 28;75005;Paris;SE;8;1;2016;"P3R 2016 
1 caisson";;;7;;;1;;;;;;;;1;;"2( ELM) EGALIS PLUS VMC
2 (ELM) EGALIS PLUS VMC + BAL 121
3 (ELM) MEGALIA VMC
1 (CM) SERELIA GREEN";;;;2016;Chaudière individuelle haute performance énergétique;07/06/2016;28 RUE GEOFFROY SAINT HILAIRE ;;;;
105GH;GEOFFROY ST HILAIRE19/25;300;01/01/1965;Geoffroy Saint Hilaire (rue) 19/25;75005;Paris;SE;2;0;NC;;;;;;;;;;46;;;;;;;;;;;;;;;;;;
105HB;HENRI BARBUSSE 33;17;01/01/1840;Henri Barbusse (rue) 33;75005;Paris;SE;5;1;2019;;1;;;;;4;;;;;1;;;;;CHAFFOTEAUX - MIRA GREEN ULTRA - MIRA C NOX 25 FF ;;;;2019;Chaudière individuelle haute performance énergétique;08/11/2019;33 rue Henri Barbusse;;;;
105J1;SAINT JACQUES 181/183;4;01/01/1700;Saint Jacques (rue) 181;75005;Paris;SE;4;1;2012;;;;4;;;;;;;;;;;1;;;;;;;;;;;;;
105J2;SAINT JACQUES 275;11;01/01/1650;275 Saint-Jacques;75005;Paris;SE;11;3;2016;;;;11;;;;;;;;;;;3;;11 THEMAFAST V25;;;;2016;;;;;;;
105LC;LACEPEDE 16/18;24;11/05/1963;16/18 rue Lacepede;75005;Paris;SE;4;0;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
105LE;CARDINAL LEMOINE 49/51;32;05/04/2011;49/51 rue du Cardinal LEMOINE ;75005;Paris;SE;30;3;;;;;29;;;1;;;;;;;;3;;CHAFFOTEAUX INOA;;;;;;;;;;;
105P2;POLIVEAU 18/20;12;01/06/1986;Poliveau (rue) 20;75005;Paris;SE;12;1;2016;;;;12;;;;;;;;;;;1;;"4 (ELM) EGALIS PLUS  VMC/
2 EGALIS PLUS  VMC + BAL 121/
3 EGALIS PLUS  VMC + BAL 50
1 EGALIS PLUS  VMC + BALLON ELECTRIQUE/
1 (SD) ISOTWIN VMC + ballon/
1 (SD) Thema C AS 25 EV GN + ballon échangeur/";;;;2016;Isolation des toitures terrasses;22/10/2014;18-20, Rue Polivau ;;;;
105S7;SAINT JACQUES 157;9;01/01/1700;Saint Jacques (rue) 157;75005;Paris;SE;8;2;2021;;;1;;;;2;5;;;;1;;;;1;"Elm Leblanc - Melia I condens et Egalis condens
pas de chaudière dans le logement 8";;;;2021;;;;;;;
105S9;SAINT JACQUES 159;7;01/01/1700;Saint Jacques (rue) 159;75005;Paris;SE;6;1;2021;;;;;;;6;;;;;1;;;;;Elm Leblanc - Melia I condens et Egalis condens;;;;2021;;;;;;;
105VG;VAL DE GRACE 21;15;01/01/1840;21 rue du Val de Grâce;75005;PARIS;SE;11;4;2021;;;;;;;?;10;;;;2;;;;2;INOA 24 VMC;;;;;;;;;;;
106CM;CHERCHE MIDI 5;19;01/01/1650;5 rue du Cherche Midi;75006;Paris;SE;18;0;2015;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
106EC;ECHAUDE 3 - SEINE 44 ;4;01/01/1600;44 rue de la Seine;75006;Paris;SE;4;1;2013;;;4;;;;;;;;;1;;;;;;;;;;;;;;;;
106EM;ECOLE DE MEDECINE 11/13;7;01/01/1300;11/13 Ecole de Médecine;75006;Paris;SE;6;0;2015;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
106LI;LITTRE 6BIS;8;01/12/1983;Littré (rue du) 6bis;75006;Paris;SE;7;1;2015;;;;7;;;;;;;;;;;1;;;;;;;;;;;;;
106NN;NESLE - NEVERS;8;01/01/1650;Nesle (rue du) 12 / 17 Nevers;75006;Paris;SE;9;0;2015;;9;;;;;;;;;;;;;;;;;;;;"Chaudière individuelle haute performance énergétique
Fenêtre ou porte-fenêtre complète avec vitrage isolant";"31/10/2015
18/11/2016";"12 rue de Nesles
12 rue de Nesles - 17 rue de Nevers";;;;
106S1;SEINE 15;8;01/01/1650;Seine (rue de) 15;75006;Paris;SE;8;0;2018;;8;;;;;;;;;;;;;;;THEMACLASSIC C25 (SD);;;;2018;;;;;;;
106S2;SEINE 27;11;01/01/1700;Seine (rue de) 27;75006;Paris;SE;11;0;2019;;11;;;;;;;;;;;;;;;;;;;2019;;;;;;;
106V1;VISCONTI 1/3;25;01/01/1700;Visconti (rue) 1/3 - Seine 26/28;75006;Paris;SE;23;0;2014;;23;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;29/07/2014;1/3 rue Visconti / 26/28 rue de Seine;;;;
106V2;VISCONTI 2/4;25;01/01/1700;Visconti (rue) 4 - Seine 24;75006;Paris;SE;26;0;2014;;25;1;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;29/07/2014;2/4 rue Visconti / 24 rue de Seine;;;;
107CO;COMETE 18               ;26;01/04/1983;Comète ( rue de la ) n° 18;75007;PARIS;SO;26;1;2012;;;;26;;;;;;;;;;;1;;INOA 24 VMC;;;;;;;;;;;
113AL;ALBERT 24               ;36;15/03/2000;Albert (rue) 22/24;75013;Paris;SE;36;4;2014;;;;36;;;;;;;;;;;4;;;;;;;Chaudière individuelle basse température;15/05/2014;24 rue Albert;;;;
113BP;BOURGON 16/20-MOULIN DEL;49;01/04/1988;Moulin de la Pointe (rue du) 32;75013;Paris;SE;49;3;2018;;;;49;;;;;;;;;;;3;;"Niagara C 24 VMC EU
Inoa 24 VMC EU";;;;2018;;;;;;;
113CD;COLONEL DOMINE 28       ;32;01/08/1989;Colonel Dominé (rue du) 28;75013;Paris;SE;32;2;2014;;;1;31;;;;;;;;;;;2;;;;;;;Chaudière individuelle basse température;17/04/2014;20 rue du Colonel Dominé;;;;
113DB;DESSOUS DES BERGES-CANTA;15;27/04/1998;Dessous des Berges (rue du) 77;75013;Paris;SE;15;1;2012;;;;15;;;;;;;;;;;1;;;;;;;;;;;;;
113GA;GANDON 18/22            ;44;01/08/1986;Gandon (rue) 20;75013;Paris;SE;44;2;2014;;;;44;;;;;;;;;;;2;;;;;;;"Chaudière individuelle basse température
Isolation des toitures terrasses";"16/05/2014
17/09/2019";18/20 rue Gandon ;;;;
113GL;GLACIERE 117/119;17;01/01/1850;Glacière (rue de la) 117;75013;Paris;SE;17;2;2019;;;;15;;;2;;;;;;;;2;;MEGALIS CONDENS - ACLEA VMC BAS NOX ;;;;2019;;;;;;;
113GO;GOSCINNY 11             ;23;15/09/2009;Goscinny ( rue de) 11;75013;Paris;SE;23;1;2022;;;;23;;;;;;;;;;;1;;Chaffoteaux et Maury - Inoa Nox 24 VMC et Niagara c nox 25 VMC ;;;;2022;;;;;;;
113I9;ITALIE 188/194-COL DOMIN;95;01/03/1988;Colonel Dominé (rue du) 2;75013;Paris;SE;95;3;2018;;;;95;;;;;;;;;;;3;;Frisquet hydromotrix évolution C25 VMC 25KW  Flexible - basse température - haute performance.;;;;;Réhabilitation globale d'un bâtiment résidentiel;31/07/2018;2-4 rue du colonel Dominé  188-194 avenue d'Italie;;;;
113IT;ITALIE 46;10;01/01/1880;Italie (avenue d') 46;75013;Paris;SE;9;1;2009;;;;9;;;;;;;;;;;1;;;;;;2023;;;;;;;
113K1;KELLERMANN 14/16        ;56;01/01/1930;Kellermann (boulevard) 14/16;75013;Paris;SE;56;2;2020;;;2;54;;;;;;;;;;;2;;;;;;;Isolation des murs;18/12/2019;1416 bd Kellermann;;;;
113K4;KELLERMANN 4;22;01/02/1985;Kellermann (boulevard) 4;75013;Paris;SE;21;1;2018;;;;21;;;;;;;;;;;1;;;;;;;PLAN CLIMAT;31/12/2017;;;;;
113K6;KELLERMANN 6;32;01/01/1930;Kellermann (boulevard) 6;75013;Paris;SE;32;1;2016;;;;32;;;;;;;;;;;1;;"25 THEMACLASSIC V25/
7 THEMAFAST CAS AVEC BALLON";;;;2016;;;;;;;
113K8;KELLERMANN 6BIS/12;110;01/02/1985;Colonel Dominé (rue du) 9;75013;Paris;SE;110;4;2018;;;;110;;;;;;;;;;;4;;Chaffoteaux et Maury, modèle MIRA C ;;;;;;;;;;;
113LC;LUCAS CHAMPIONNIERE-INTE;66;01/08/1956;13/19 rue de l'Interne Loeb;75013;Paris;SE;2;0;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
113MT;MOULIN DE LA POINTE-TAGE;25;01/06/1998;Tage (rue du) 18/24;75013;Paris;SE;25;2;2013;;;;25;;;;;;;;;;;2;;;;;;;;;;;;;
113N4;NATIONALE 41;59;01/01/1984;Nationale (rue) 41/43;75013;Paris;SE;59;2;2013;"P3R 2016
2 caissons + trainasses";;;59;;;;;;;;;;;2;;;;;;;;;;;;;
114B3;BROUSSAIS 3             ;56;01/05/1986;Broussais (rue) 26;75014;PARIS;SO;56;2;2021;2 caissons gaz:P3R 2018;;;56;;;;;;;;;;;2;;"ELM Leblanc - Aclea bax nox  VMC
Chaffoteaux et Maury - Niagara C Nox VMC ";;;;2021;;;;;;;
114GE-1;GERGOVIE-OUEST-VERCI    ;244 (114GE-1 et 114GE-2);01/01/1983;Gergovie (rue de) 14/18;75014;PARIS;SO;133;6;2013;"P3R 2016 
9 caissons";;12;119;;;2;;;;;;;;6;;;;;;;;;;;;;
114GE-2;GERGOVIE-OUEST-VERCI    ;244 (114GE-1 et 114GE-2);01/01/1983;Gergovie (rue de) 28;75014;PARIS;SO;111;3;2018;;;;111;;;;;;;;;;;3;;;;;;2018;;;;;;;
114OU;OUEST-LEBOUIS           ;54;01/12/1986;Lebouis (rue) 3;75014;PARIS;SO;55;3;2016;"P3R 2016 
3 caissons";;;55;;;;;;;;;;;3;;55 (ELM) MEGALIA CGLA 23-7MN VMC;;;;2016;;;;;;;
114P7;PLANTES74               ;16;01/01/1980;"Plantes (rue des) 74
Brune (villa) 1";75014;PARIS;SO;15;2;2019;;;;15;;;;;;;;;;;2;;15 ACLEA VMC BAS NOX ;;;;2019;;;;;;;
114PV;PORTE DE VANVES         ;419;01/01/1928;Brune (boulevard) 10;75014;PARIS;SO;405;17;2020;;49;;;;307;7;42;;;;11;;;;6;VIESSMANN VITODENS 050 W;;;;;REHABILITATION ET PLAN CLIMAT;15/12/2020;;;;;
115LE;LEFEBVRE 48/50          ;15;01/01/1870;Lefebvre (boulevard) 50;75015;PARIS;SO;15;1;2012;;;;15;;;;;;;;;;;1;;;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;18/10/2016;48/50 BOULEVARD LEFEBVRE;;;;
116BO;BOULAINVILLIERS-LAFONTAI;166;01/01/1988;"Docteur Hayem (place du) 1
La Fontaine (rue) 1/5/7";75016;PARIS;SO;97;4;2018;4 Caissons gaz P3R 2018 ;;;97;;;;;;;;;;;4;;MEGALIA VMC (ELM) ;;;;2018;;;;;;;
192BA;BAGNEUX:BIEVRE-MEGISSERI;342;01/12/1977;2/14 Bièvre 1/9 10/18 Mégisserie;92220;Bagneux;TM;342;7;2006-07;;;;342;;;;;;;;;;;7;;;;;;;;;;;;;
194BS;BOISSY-AXIMO            ;83;31/12/1980;sapinière (4/5/6 place de la)- LA HAIE GRISELLE - BOISSY SAINT LEGER;94470;BOISSY SAINT LEGER         ;TM;83;3;2012;;;;83;;;;;;;;;;;3;;;;;;;;;;;;;
194CA;CACHAN:PROVIGNY         ;39;15/11/1984;Provigny (rue de) 9/11 CACHAN;94094;CACHAN       ;TM;39;4;2012;;;;39;;;;;;;;;;;4;;;;;;;;;;;;;
194JG;JOINVILLE GALLIENI      ;62;20/12/2004;Allée Louis Jouvet (1 et 3 ) - ZAC DES STUDIOS DE JOINVILLE LE PONT;94340;JOINVILLE LE PONT;TM;62;2;2019;;;;;;;62;;;;;2;;;;;ISOTWIN CONDENS - THEMAFAST CONDENS ET MEGALIS CONDENS ;;;;2019;;;;;;;
194VF;FAURE SCHUMANN;45;02/05/2017;"61-109 RUE GABRIEL FAURE 
66-104 RUE CLARA SCHUMANN";94440;VILLECRESNES;TM;45;45;2017;;;;;;;;;45;;;;45;;;;"45 chaudières solaires à condensation ventouse
45 ballons ecs solaires
45 panneaux solaires ";;;;;;;;;;;
194VN;VITRY RUE NEUVE;16;01/01/1983;13/15 rue neuve;94400;VITRY ;TM;16;1;2016;;;;;;;16;;;;;1;;;;;SAUNIER DUVAL Thema plus condens F25;;;;;"Isolation des murs
Isolation d'un plancher
Fenêtre ou porte-fenêtre complète avec vitrage isolant
Isolation des toitures terrasses
Chaudière individuelle haute performance énergétique
Ventilation Mécanique Contrôlée simple flux hygroréglable";"16/10/2017
16/12/2016
13/10/2017
11/10/2017
05/01/2017";13-15 RUE NEUVE;;;;
213HB;HENRI BECQUE 1;93;01/07/1922;Henri Becque (rue) 1;75013;Paris;SE;93;4;2017;;;1;91;;;1;;;;;;;;4;;;;;;2017;Chaudière individuelle haute performance énergétique;17/07/2017;1 rue Henri Becque;;;;
213HO;HOPITAL 137;408;01/06/1926;"Hopital (boulevard de l') 137
Campo Formio (rue)";75013;Paris;SE;391;26;2016;"P3R 2016 
5 caissons";;;386;;;5;;;;;;;;26;;"383 MEGALIA CGLA 23-7H 5 VMC
1 ELM AGVAC24-5MN
4 AGVAC24-5MN + 3 anciennnes à VMC
";;;;2016;Chaudière individuelle haute performance énergétique;12/07/2017;137 BD DE L'HOPITAL;;;;
113AH;ALBIN HALLER-MULARD-BRIL;96;01/04/1953;Brillat Savarin (rue) 28;75013;Paris;SE;96;7;2011;;;96;;;;;;;;;7;;;;;;;;;;Isolation de combles ou de toitures;06/02/2020;2628 rue Brillat Savarin;;;;
113AR;ARAGO48 GLACIERE28      ;19;01/01/1881;Glacière (rue de la) 28;75014;Paris;SE;11;0;2010;;;11;;;;;;;;;;;;;;;;;;;;;;;;;
113BE;DESSOUS DES BERGES 15/19;37;01/05/1955;Dessous des Berges (rue du) 15/19;75013;Paris;SE;37;0;2012;;37;;;;;;;;;;;;;;;;;;;;;;;;;;
113BS;BRILLAT SAVARIN-MULARD-H;83;01/10/1951;Brillat Savarin (rue) 24;75013;Paris;SE;84;6;2011;;;84;;;;;;;;;6;;;;;;;;;;;;;;;;
113D2;DAMESME 21              ;8;01/01/1850;Damesne (rue) 21;75013;Paris;SE;8;1;2013;;;7;;;;1;;;;;1;;;;;;;;;;;;;;;;
113DI;DIEULAFOY-LERAY-DAMESME;38;01/10/1920;Damesne (rue) 34;75013;Paris;SE;35;0;2021;;1;;;;34;;;;;;;;;;;;;;;2021;;;;;;;
113ED;EDISON 56/60;24;01/04/1955;Edison (avenue) 60;75013;Paris;SE;24;2;2013;;;24;;;;;;;;;2;;;;;;;;;;;;;;;;
113EO;CANTAGREL-EUGENE OUDINE;96;01/10/1957;Eugène Oudiné (rue) 2/4;75013;Paris;SE;96;8;2021;;;5;;;;91;;;;;8;;;;;;;;;2021;;;;;;;
113FM;FONTAINE A MULARD 1/5;89;01/04/1955;1/5 Rue de la Fontaine à Mulard;75013;PARIS;SE;89;6;2019;;;23;;;;66;;;;;6;;;;;;;;;P3R2019;;;;;;;
113G2;GLACIERE 20             ;73;01/01/1880;Glacière (rue de la) 20;75013;Paris;SE;11;0;2014;;7;3;;;;;;;1;;;;;;;;;;;;Chaudière individuelle basse température;30/09/2014;20 rue Glacière;;;;
113GM;GUYTON DE MORVEAU 13;16;01/01/1923;13 Rue Guyton de Morveau;75013;PARIS;SE;15;1;2016;;;2;;;;13;;;;;1;;;;;15 MIRA C GREEN;;;;2016;Chaudière individuelle haute performance énergétique;31/05/2016;13 RUE GUYTON DE MORVEAU;;;;
113I5;ITALIE 77/79;89;01/01/1920;Italie (rue de) 77/79;75013;Paris;SE;89;8;2012;;;89;;;;;;;;;8;;;;;;;;;;;;;;;;
113I7;ITALIE 170-DY/13 5      ;55;15/09/1998;Italie (avenue d') 170;75013;Paris;SE;55;2;2012;;;54;;;;1;;;;;2;;;;;;;;;2023;Isolation des toitures terrasses;25/03/2019;170170 bis avenue d'Italie;;;;
113K3;KELLERMANN 30-DAMESME   ;34;01/11/1955;Kellermann (boulevard) 30;75013;Paris;SE;34;3;2011;;;31;;;;3;;;;;3;;;;;;;;;;;;;;;;
113KK;KELLERMANN-KEUFER-MAX JA;296;01/11/1935;Keufer (rue) 6;75013;Paris;SE;291;0;2020;;21;;;;270;;;;;;;;;;;;;;;2020;Isolation des toitures terrasses;01/07/2016;2/12 RUE KEUFER - 5/7 RUE DU PR LOUIS RENAULT;;;;
113L1;LANDOUZY-LECENE-LOEB-PEU;317;01/01/1933;Peupliers (rue des) 37/39/41/43/;75013;Paris;SE;315;31;2018;;;273;;;;42;;;;;31;;;;;INOA GREEN ULTRA 25;;;;2018;"Chaudière individuelle haute performance énergétique
Isolation des toitures terrasses";"28/12/2018
04/10/2019";"35 rue du Docteur Landouzy
35 rue du Docteur Landouzy 46 rue du Docteur Lecene 416 rue de l'Interne Loeb 416 rue du Docteur Tuffier 3739 bis rue des Peupliers";;;;
113LA;AUGUSTE LANCON-VERGNIAUD;89;01/11/1953;Auguste Lançon (rue) 10;75013;Paris;SE;89;8;2011;;;88;;;;;;;1;;8;;;;;;;;;;;;;;;;
113M5;MOULIN DE LA POINTE 10  ;38;20/07/2006;Moulin de la pointe (rue du) 10;75013;Paris;SE;38;5;2021;;;;;;;27;11;;;;2;;;;3;;;;;2021;;;;;;;
113MP;MOULIN DE LA POINTE 15/3;96;01/10/1998;Moulin de la Pointe (rue du) 17/27;75013;Paris;SE;96;6;2013;;;96;;;;;;;;;6;;;;;;;;;;Isolation des toitures terrasses;16/12/2014;17/33 rue du Moulin de la Pointe;;;;
113PI;PORTE D'IVRY-MASSENA-PEA;420;01/06/1932;Péan (rue) 1;75013;Paris;SE;409;24;2017;;;5;;;;404;;;;;24;;;;;MEGALIA CONDENS - AGVAC21-6MN;;;;2017;"Chaudière individuelle haute performance énergétique

Mise en place d’un doublage isolant (complexe ou sur ossature) sur murs par l’intérieur ou par l’extérieur.";"30/11/2016

28/04/2021";"42/50 AVENUE DE LA PORTE D'IVRY

3 RUE DUPUY DE LOME";;;;
113RN;REGNAULT-NATIONALE      ;128;01/07/1952;Regnault (rue) 92;75013;Paris;SE;124;11;2017;;;;;;;124;;;;;11;;;;;MEGALIA CONDENS;;;;2017;Chaudière individuelle haute performance énergétique;28/12/2016;92-104 RUE REGNAULT;;;;
113SR;SOEUR ROSALIE 4         ;31;01/01/1905;Soeur Rosalie (rue) 4;75014;Paris;SE;27;4;2016;;;1;;;;;26;;;;2;;;;2;;;;;;;;;;;;
113VU;VULPIAN16               ;34;01/01/1900;Vulpian ( rue  ) n° 16;75013;Paris;SE;9;0;2009;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
113WB;WATTEAU-BANQUIER-HOPITAL;201;01/06/1969;116 bd de l'Hopital;75013;;SE;1;0;;;;;;;;1;;;;;;;;;;;;;;;Réhabilitation d'un poste de livraison de chaleur;16/01/2017;122 BOULEVARD DE L'HOPITAL;;;;
205LA;LARREY 2/10 - DAUBENTON;211;01/01/1928;Larrey (rue) 6;75005;Paris;SE;212;0;2006 - plan climat 2017;;33;179;;;;;;;;;;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/08/2025;;;;;
213BS;BRILLAT SAVARIN-FONTAINE;250;01/12/1924;16/18 Brillat Savarin 9 A Haller;75013;PARIS;SE;249;13;2014;;;244;;;;5;;;;;13;;;;;;;;;;Chaudière individuelle basse température;28/11/2014;16/18 rue Brillat Savarin;;;;
213ER;ERNEST ROUSSELLE-MOULIN ;136;01/01/1925;Ernest Rousselle (rue) 18;75013;Paris;SE;137;0;2018;;115;;;;22;;;;;;;;;;;"Inoa 25 CF EU; Mira C 25 CF EU; Mira C Green Ultra 25
1 cumulus logement 117";;;;2018;;;;;;;
213T2;TOLBIAC 207;100;01/11/1921;Tolbiac (rue de) 207;75013;Paris;SE;99;0;2009;;87;12;;;;;;;;;;;;;;;;;;;;;;;;;
213T6;TOLBIAC 62;34;01/06/1925;Tolbiac (rue de) 62;75013;Paris;SE;33;0;2010;;33;;;;;;;;;;;;;;;;;;;;;;;;;;
107SD;SAINT DOMINIQUE 93      ;15;01/01/1750;Saint Dominique (rue) 93;75007;PARIS;SO;15;1;2005;;;;;;;15;;;;;1;;;;;;;;;2021;;;;;;;
114AL;ALESIA-MONTSOURIS       ;38;01/04/2001;"Berges Hennequines (rue des) 7
Empereur Julien (rue de l') 8";75014;PARIS;SO;40;6;2012;;;40;;;;;;;;;6;;;;;;;;;;;;;;;;
114BA;BAUER 21                ;8;29/04/2002;Bauer (cité) 21;75014;PARIS;SO;8;3;2014;;;8;;;;;;;;;3;;;;;;;;;;Chaudière individuelle basse température;11/06/2014;21 rue Bauer;;;;
114CU; CHATEAU 155;13;01/01/1905; 155 RUE DU CHATEAU 75014;75014; PARIS;SO;6;2;2019;;;;;;;;6;;;;;;;;2;;;;;;;;;;;;
114D4;DIDOT 38/40-BAUER 3     ;8;01/08/2002;Didot (rue) 34/40;75014;PARIS;SO;8;2;2014;;;8;;;;;;;;;2;;;;;;;;;;Chaudière individuelle basse température;11/06/2014;38/40 rue Didot;;;;
114DR;DENFERT ROCHEREAU 61    ;8;01/01/1910;Denfert Rochereau ( avenue  ) n° 61;75014;PARIS;SO;6;0;2015;;;;;;6;;;;;;;;;;;;;;;;;;;;;;
114GH;GENERAL HUMBERT 2/14    ;375;01/01/1929;Général Humbert (rue du) 2/6/10/14;75014;PARIS;SO;370;7;2007;;265;91;;;;14;;;;;7;;;;;;;;;2022;;;;;;;
114JM;JEAN MOULIN 40/48-AUGUST;259;01/02/1984;Jean Moulin (rue) 40/48;75014;PARIS;SO;6;0;2018;;;;;;;6;;;;;;;;;;MEGALIA CONDENS ELM micro acu;;;;2018;;;;;;;
114L0;RAYMOND LOSSERAND 10    ;6;01/10/1880;Raymond Losserand (rue) 8/10;75014;PARIS;SO;6;1;2018;;5;;;;;1;;;;;1;;;;;"ELM :MEGALIA CF; ODEALIS CF (lgt 2); MEGALIA CONDENS (lgt 1)";;;;2018;;;;;;;
114L9;RAYMOND LOSSERAND 69    ;42;01/09/1956;"ZAC Didot
Raymond Losserand 69";75014;PARIS;SO;42;11;2018;3 caissons sanitaire P3R2018;;;;;;42;;;;;11;;;;;"SERELIA C GREEN (CM); MIRA C GRENN (CM); NIAGARA C GRENN (CM)";;;;2018;Chaudière individuelle haute performance énergétique;14/09/2018;69 rue Raymond Loserand 34 rue Pernety;;;;
114LC;LECLERC 87bis           ;29;01/01/1900;Général Leclerc ( avenue du ) n° 87bis;75014;PARIS;SO;19;1;2012;;;;;;;19;;;;;1;;;;;;;;;;;;;;;;
114OD;ODESSA 7;8;01/01/1895;7 rue d'Odessa;75014;PARIS;SO;6;0;acquisition 2015;;5;;;;;1;;;;;;;;;;;;;;2023;Fenêtre ou porte-fenêtre complète avec vitrage isolant;30/12/2016;7 RUE D'ODESSA;;;;
114PC;PORTE DE CHATILLON 8/12 ;199;01/06/1950;Général de Maud Huy (rue du) 5;75014;PARIS;SO;180;0;2011;;11;161;;;;8;;;;;;;;;;;;;;;;;;;;;
114SJ;saint jacques 12/24;154;01/10/1954;12/28 saint jacques;75014;PARIS;SO;2;0;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
115BR;BRANCION 42/54          ;120;01/12/1956;Brancion (rue) 52;75015;PARIS;SO;120;10;2010;;;120;;;;;;;;;10;;;;;;;;;;;;;;;;
115CN;CONVENTION 202;14;01/01/1906;202 rue de la convention;75015;PARIS;SO;10;0;2015;;;;;;10;;;;;;;;;;;;;;;;;;;;;;
115DA;DANTZIG 6-JOBBE DUVAL   ;58;01/04/1955;Dantzig (rue de) 6;75015;PARIS;SO;58;4;2011;;;58;;;;;;;;;4;;;;;;;;;;;;;;;;
115LO;LOURMEL;63;01/12/1952;170 lourmel;75015;PARIS;SO;29;0;2013;;23;5;;;;;;;1;;;;;;;;;;;;;;;;;;
